dataset,alpha,rho_rising,p_value,ndcg_10,hit_10
London TripAdvisor,0.0,-0.11578866273295729,1.6256356550417304e-06,0.537158963852384,0.877796538623892
London TripAdvisor,0.25,-0.03879693459509153,0.10918047742944272,0.5324207513390109,0.8577458843393837
London TripAdvisor,0.5,-0.03260897254225769,0.17822391851307334,0.5319272676987882,0.8571127057830308
London TripAdvisor,0.75,-0.03089593289585978,0.20213687985409873,0.5314341415013251,0.8566905867454622
London TripAdvisor,1.0,-0.030284572883398364,0.21121318876724435,0.5314313038057946,0.8569016462642465
London TripAdvisor,1.5,-0.030043290860457712,0.21487514153300047,0.5316414343770866,0.8566905867454622
London TripAdvisor,2.0,-0.030479944992353566,0.20828121519156859,0.5314791849309106,0.856479527226678
UK Foursquare,0.0,0.001771933213474682,0.8483233399054502,0.1420525337876105,0.5103678929765886
UK Foursquare,0.25,0.013087482169199317,0.15774678545706936,0.1331817586189708,0.47558528428093644
UK Foursquare,0.5,0.02256242152701839,0.014865430248544052,0.13117976050012925,0.4635451505016722
UK Foursquare,0.75,0.03039706401227817,0.0010316838387289839,0.1273054724986451,0.45484949832775917
UK Foursquare,1.0,0.036792777297145404,7.107305116840171e-05,0.12642438188903501,0.45217391304347826
UK Foursquare,1.5,0.045960202131759616,6.925143025624085e-07,0.12337096581092179,0.4294314381270903
UK Foursquare,2.0,0.05172361519896852,2.314832528848568e-08,0.1218860932477205,0.4214046822742475
