business_id,name,categories,city,latitude,longitude,state,stars,review_count,country,city_state_country_display
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",Philadelphia,39.9555052,-75.1555641,PA,4.0,80,United States,"Philadelphia, PA, United States"
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",Edmonton,53.5460453,-113.4991693,AB,4.0,40,Canada,"Edmonton, AB, Canada"
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",Edmonton,53.5446819,-113.506589,AB,4.0,12,Canada,"Edmonton, AB, Canada"
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",Nashville,36.1483712,-86.7988947,TN,3.5,159,United States,"Nashville, TN, United States"
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",Edmonton,53.5496333,-113.5087799,AB,5.0,20,Canada,"Edmonton, AB, Canada"
ppFCk9aQkM338Rgwpl2F5A,Wawa,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",Philadelphia,39.954573,-75.1948936,PA,3.0,56,United States,"Philadelphia, PA, United States"
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",Santa Barbara,34.4144445,-119.6906718,CA,4.0,389,United States,"Santa Barbara, CA, United States"
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",Nashville,36.1626492,-86.7759733,TN,4.5,593,United States,"Nashville, TN, United States"
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,"American (New), Restaurants, Cafes, Italian, American (Traditional)",Saint Louis,38.6172724,-90.2127841,MO,3.5,80,United States,"Saint Louis, MO, United States"
h_qlv6CIXGVurFOhFQ945w,Tim Hortons,"Coffee & Tea, Food",Edmonton,53.5599789914,-113.6162690363,AB,3.5,6,Canada,"Edmonton, AB, Canada"
yM8LlTInbQH4FwWC97lz6w,McDonald's,"Fast Food, Restaurants, Food, Burgers, Coffee & Tea",St. Louis,38.6124951839,-90.2219420671,MO,1.5,100,United States,"St. Louis, MO, United States"
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,"Food, Coffee & Tea",Philadelphia,39.9764555,-75.1270254,PA,4.0,105,United States,"Philadelphia, PA, United States"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",Philadelphia,39.9385518,-75.1496356,PA,4.5,183,United States,"Philadelphia, PA, United States"
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,"Restaurants, Breakfast & Brunch, Coffee Roasteries, Coffee & Tea, Food",Tampa,27.9767745,-82.5374233,FL,2.5,55,United States,"Tampa, FL, United States"
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",Philadelphia,39.9563959,-75.2253784,PA,4.5,66,United States,"Philadelphia, PA, United States"
IOZrqUQ2Jg6UeQ5CWpsmkg,Nesbit's Magazine Street Market,"Convenience Stores, Food, Grocery, Coffee & Tea, Beer, Wine & Spirits",New Orleans,29.9504773,-90.0679445,LA,5.0,7,United States,"New Orleans, LA, United States"
8YJtf5v76SIz-4udyF4YmA,The Hideout Coffee House,"Food, Coffee & Tea",Brandon,27.9344684803,-82.2878021747,FL,4.5,22,United States,"Brandon, FL, United States"
aNXw3PkXVt8ANwLyCfcmpg,McDonald's,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",Lansdale,40.2637063378,-75.3179157563,PA,1.5,17,United States,"Lansdale, PA, United States"
JwBTq6IOFH97b9Hr6RT7pw,Reinette Café & Patisserie,"Food, Coffee & Tea, Bakeries, Restaurants, Cafes",Edmonton,53.5225968429,-113.61922974,AB,3.0,5,Canada,"Edmonton, AB, Canada"
z9wCTHYI2VZy9YIblwSsgg,The Silo Eatery Coffee Bakery,"Coffee & Tea, Restaurants, Food, Cafes, Bakeries",Tampa,27.9464963776,-82.3555628732,FL,4.0,5,United States,"Tampa, FL, United States"
cl5NjtALgaX7E-WL2DtiYQ,Liberty City Roasters,"Food, Wholesalers, Coffee Roasteries, Professional Services, Coffee & Tea",Bristol,40.100524,-74.865196,PA,4.5,8,United States,"Bristol, PA, United States"
516L9-ZWyqVgzqjP5uW7Jg,The Corner Cafe and Deli,"Sandwiches, Cafes, Burgers, Food, Restaurants",Tampa,27.9444574,-82.4578244,FL,4.0,6,United States,"Tampa, FL, United States"
gb7JjRJtzWDsIWpJihZhBQ,McDonald's,"Food, Burgers, Restaurants, Coffee & Tea, Fast Food",Pennsville,39.6773020944,-75.4953995347,NJ,2.0,20,United States,"Pennsville, NJ, United States"
JPm93BlP-UHYPqFgK66JUw,Local Links,"Coffee & Tea, Restaurants, American (New), Food, Cafes, Breakfast & Brunch",Haddon Heights,39.8826936,-75.0583844,NJ,4.5,70,United States,"Haddon Heights, NJ, United States"
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,"Burgers, Cafes, Restaurants, Mexican, American (Traditional)",Goleta,34.4305419,-119.882367,CA,4.0,189,United States,"Goleta, CA, United States"
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",Philadelphia,40.0027825,-75.2222705,PA,3.0,52,United States,"Philadelphia, PA, United States"
9qxMhGWjGsuPUoQB3Y74Wg,McDonald's,"Food, Restaurants, Coffee & Tea, Burgers, Fast Food",St. Louis,38.6369079537,-90.1954829934,MO,1.5,62,United States,"St. Louis, MO, United States"
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis",Philadelphia,39.960811,-75.1573883,PA,4.0,31,United States,"Philadelphia, PA, United States"
dIpTuL2T1L98GQGU17IeSw,The Bricks,"Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian",Tampa,27.9600238,-82.4444005,FL,4.0,548,United States,"Tampa, FL, United States"
vxrGNnuEef7YCfB7mN08rA,Dunkin',"Coffee & Tea, Donuts, Food",Pinellas Park,27.8718285,-82.7502853,FL,2.0,8,United States,"Pinellas Park, FL, United States"
WmnPtMtY0elYVStooCTfng,Barista Cafe,"Breakfast & Brunch, Coffee & Tea, Sandwiches, Food, Restaurants, Cafes",Palmyra,40.0043533,-75.0222651,NJ,4.5,12,United States,"Palmyra, NJ, United States"
wCgIJhH_CTuwsSZPcafkng,Dunkin' Donuts,"Food, Donuts, Coffee & Tea",Indianapolis,39.7038868163,-86.1483024479,IN,2.0,19,United States,"Indianapolis, IN, United States"
PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch",Philadelphia,39.958422,-75.158257,PA,3.0,29,United States,"Philadelphia, PA, United States"
6_Zf2QsRHCH1RhbzA9inyw,Starbucks,"Coffee & Tea, Food",Tampa,27.9963703,-82.580954,FL,3.0,56,United States,"Tampa, FL, United States"
lPPYZr1_jx0XeW-xR9WJtw,DOSC,"Bars, Cocktail Bars, Coffee & Tea, Food, Restaurants, Cafes, Steakhouses, Nightlife, Tapas/Small Plates",Edmonton,53.5428720873,-113.4995122836,AB,4.0,87,Canada,"Edmonton, AB, Canada"
-H6s1c2NRic5UKxXqi4FdQ,Bagelicious and More,"Food, Breakfast & Brunch, Restaurants, Bagels, Coffee & Tea",Brandon,27.9588017985,-82.2789713027,FL,3.5,7,United States,"Brandon, FL, United States"
IbndcMURguByburM72o3SA,State Street Kitchen,"Korean, American (Traditional), Sandwiches, Cheesesteaks, Restaurants, Coffee & Tea, Breakfast & Brunch, Food",Newtown,40.2285432,-74.9370146,PA,4.5,124,United States,"Newtown, PA, United States"
Iipfa9Kaac9XH5Vo8GQwvg,Starbucks,"Coffee & Tea, Food",Edmonton,53.6161467,-113.4324244,AB,3.5,10,Canada,"Edmonton, AB, Canada"
3uvFklejzRPwEPEZQ5vHYQ,Wawa,"Delis, Convenience Stores, Restaurants, Food, Coffee & Tea, Sandwiches",Media,39.916175541,-75.3876546369,PA,3.5,14,United States,"Media, PA, United States"
0l_njS4wGMadAk1b4nZRUA,Panera Bread,"Restaurants, Bakeries, Cafes, Bagels, Food, Soup, Salad, Sandwiches, Breakfast & Brunch",King of Prussia,40.089985,-75.382315,PA,2.5,58,United States,"King of Prussia, PA, United States"
A1lAqN3SOaBLoo6NqVcy4Q,McDonald's,"Sandwiches, Burgers, Food, Fast Food, Restaurants, Coffee & Tea",Brandon,27.925332,-82.325395,FL,2.0,6,United States,"Brandon, FL, United States"
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers",Philadelphia,40.0884161,-74.9650112,PA,1.5,20,United States,"Philadelphia, PA, United States"
epGYbd0_OeSxsSkw-Kx5Rg,Hippie Hi,"Vegan, Gluten-Free, Restaurants, Bubble Tea, Salad, Tea Rooms, Food, Coffee & Tea",Clearwater,27.9684516983,-82.7621585038,FL,4.0,16,United States,"Clearwater, FL, United States"
-kY_HDP7IMvGl-kBIZVU4A,Dune Coffee Roasters - Anacapa,"Coffee & Tea, Coffee Roasteries, Food",Santa Barbara,34.4189939,-119.6950684,CA,4.0,320,United States,"Santa Barbara, CA, United States"
sophKEDc2rBDe-cuOaJDkA,365 Caffe Italiano,"Breakfast & Brunch, Coffee & Tea, Food, Ice Cream & Frozen Yogurt, Creperies, Gelato, Comfort Food, Sandwiches, Restaurants, Cafes",Wesley Chapel,28.187946572,-82.3500558385,FL,4.5,127,United States,"Wesley Chapel, FL, United States"
vMp55ea__Pk0fYbBDCn6jg,Dunkin',"Food, Donuts, Coffee & Tea",Brandon,27.8940624,-82.2719595,FL,2.0,23,United States,"Brandon, FL, United States"
hK59rATCI9o_rmeQu57RWw,De Ville Coffee House & Creperie,"Coffee & Tea, Food",New Orleans,29.958501,-90.06163,LA,4.5,36,United States,"New Orleans, LA, United States"
dD2p903p8lU0IgXT3OFluA,Edgehill Cafe,"Breakfast & Brunch, Restaurants, Food, Cafes, Coffee & Tea, American (Traditional), Sandwiches",Nashville,36.1429685,-86.7923549,TN,3.5,245,United States,"Nashville, TN, United States"
3vTG6LQyr3obzfvrK1l1hA,7-Eleven,"Food, Gas Stations, Service Stations, Convenience Stores, Automotive, Coffee & Tea, Gas Stations",Sparks,39.6385027425,-119.7128690779,NV,2.0,12,United States,"Sparks, NV, United States"
