business_id,consistency_score,treatment,future_revisit_rate,total_visits,unique_users,gini_user_contribution
-0__F9fnKt8uioCKztF5Ww,-0.1628155810094285,0.0,0.0,160,66,0.0
-0eUa8TsXFFy0FCxHYmrjg,0.14283728752734848,1.0,0.0,61,26,0.0659340659340659
-0epFLgYq2C1Jo_W4FOBKw,0.011275107521655059,1.0,0.0,39,15,0.1481481481481481
-0gRYq5UjMtZbELj0KHxzA,-0.13134234295360037,0.0,0.00909090909090909,424,128,0.0361254699248121
-0iIxySkp97WNlwK66OGWg,-0.1611422950617084,0.0,0.006369426751592357,682,219,0.0576557508769868
-2BDt9OdGiBONysWCdKgNg,-0.21509929946089046,0.0,0.0,61,16,0.0551470588235294
-2dvQxx3cYXd5XmFdDDsDA,-0.12765823716378133,1.0,0.0,65,27,0.0
-34c4hcDPIInTROr8Xtxtw,-0.024594649937834112,1.0,0.0,71,30,0.0
-3dkEoYgH8AlUtBMZvzUfg,-0.13029558679137887,1.0,0.0,170,18,0.1296296296296295
-4jxTEaNONDDsC0Xzzp1UQ,0.25949170796129073,1.0,0.0,173,23,0.0730434782608695
-6TttC-1-rf5gC0QHWrs_w,-0.1936329553113093,0.0,0.0,108,31,0.1050691244239632
-6kIZWnXPuDC6JiQJ-A1fg,-0.23988571187494234,0.0,0.0,544,39,0.0462789243277048
-6nQZ-QCkAyNHdtaxOxDpQ,-0.17103020722077467,0.0,0.0,266,79,0.0351960481630131
-7CqBmK0zxwyjEqa3LBVSw,0.00795625138716305,1.0,0.0,127,35,0.0
-7Rx5jVeQmlVoAU_oXrzew,0.04999487515088974,1.0,0.0,27,11,0.0
-7qO7OvcQS7t6v6uHxDAxw,0.26825238869081236,1.0,0.0,31,6,0.0
-85kJMtb9wqNWDT8yLbitw,-0.10165499775675801,1.0,0.0,433,34,0.0522875816993464
-8_ufROuDzIWxFAny4FasQ,0.30332879889138686,1.0,0.0,23,16,0.0
-8luB5pJ7d9UOoiF7wikkw,-0.327266862108173,0.0,0.006369426751592357,882,182,0.021209972822876
-8uatt4iWxUproNMOd1srw,0.08137792424198786,1.0,0.0,66,26,0.0659340659340659
-9lL4yFBX_7XVqUr8cwytg,-0.48233210248506897,0.0,0.0,308,131,0.0218753560442066
-9rRsa_9GTkSYkPdKa7T8A,-0.29618596088396887,0.0,0.018018018018018018,409,126,0.0297924297924299
-9yzQQ0d_rcOD2CzdTNO_Q,-0.14932687826822466,0.0,0.0,74,20,0.0
-9zDI4h2dE3hFOpGFHB10Q,-0.47565034388849203,0.0,0.0,52,38,0.0
