business_id,final_score,rank,score_source,review_count,cold_threshold_used
ytynqOUb3hjKeJfRj5Tshw,0.0092925107089113,1,birank,24393,20
oBNrLz4EDhiscSlbOl8uAw,0.0067459978947897745,2,birank,15473,20
Y2Pfil51rNvTd_lFHwzb_g,0.004624554483554725,3,birank,9181,20
j-qtdD55OLfSqfsWuQTDJg,0.004499418453408725,4,birank,8453,20
vN6v8m4DO45Z4pp8yxxF_w,0.0034032704391672,5,birank,6305,20
W4ZEKkva9HpAdZG88juwyQ,0.00336547710001005,6,birank,5583,20
8uF-bhJFgT4Tn6DTb27viA,0.003273169718616725,7,birank,7200,20
p_qSQwShIgQnNxGcajI4-w,0.0031619269469825,8,birank,5737,20
hfbZ97Te3T4jeWN6GgsGrQ,0.0031603413756184,9,birank,5528,20
qQO7ErS_RAN4Vs1uX0L55Q,0.003122095530993025,10,birank,6994,20
BjeHLwKOlHyV6DJgmZxAjA,0.0030621918102735997,11,birank,6946,20
FEXhWNCMkv22qG04E83Qjg,0.0029297092628354253,12,birank,42003,20
2BMk_drsikKWslJCXmQtjQ,0.002853807822158375,13,birank,5589,20
fCDMLD21ypv1XZ_EyafCkQ,0.00279248140609725,14,birank,6014,20
g04aAvgol7IW8buqSbT4xA,0.002730288224822275,15,birank,4655,20
2KIDQyTh-HzLxOUEDqtDBg,0.002647342285298275,16,birank,4207,20
PGd06nrseC2YAIqP6S9gUA,0.002620798290222025,17,birank,6046,20
iUZEGx29miZObLd6_lt7Vg,0.002575046345312575,18,birank,5340,20
-Tskf8WK17rb3ZfeFuRSWA,0.00255314961130415,19,birank,4895,20
Zx7n8mdt8OzLRXVzolXNhQ,0.002466453590669275,20,birank,3550,20
K7KHmHzxNwzqiijSJeKe_A,0.00246382375772855,21,birank,3990,20
rgeuy1qbw6Z8B6CSVANHIA,0.00221851327769355,22,birank,4922,20
EQ-TZ2eeD_E0BHuvoaeG5Q,0.002167560275538475,23,birank,3686,20
UeYZgcORV2Veo_BZzdiaTg,0.002045579374831,24,birank,4521,20
vUrTGX_7HxqeoQ_6QCVz6g,0.0019878319863475503,25,birank,2336,20
ReX09lhufLTAx19krkltDA,0.001974342645229175,26,birank,4804,20
pWuoHHu0LuVrD0HjadDygg,0.001957494730251325,27,birank,2459,20
gGmqCZtOAUUqWLUJiL-Ydg,0.001913885233508525,28,birank,2459,20
hyeo7JQr5uLp-St1MibYAA,0.0018450765231079,29,birank,2470,20
K3RURR9lIEE4JjOaPt99zg,0.0018266483749380998,30,birank,3455,20
-cEFKAznWmI0cledNOIQ7w,0.00179650871273245,31,birank,3076,20
SwBhaxfQPbyhsi0QHUAN0A,0.00174427799461845,32,birank,6215,20
FryXEasH74MQDnj5Bvz3QA,0.0017432684024818249,33,birank,4218,20
5oX4G1cptixPZecih9L3dg,0.0016863569134130249,34,birank,3792,20
PWWGbkPC_agn-4s1Hv1W5A,0.001678490329189475,35,birank,4561,20
I6L0Zxi5Ww0zEWSAVgngeQ,0.001671758805053725,36,birank,3569,20
Ih6_y2nnbg2Jw9Qdc876GA,0.0016518436495224502,37,birank,3876,20
z_7TZeTXsDH6MmkPHQN8nQ,0.001634338491125275,38,birank,2920,20
ZfOS7Mz-iGseNxBhlhXm_w,0.00162986162200495,39,birank,2352,20
sr-5EY6bmp4jINhea06MjA,0.001613958231300425,40,birank,2551,20
Ipkx4Sa7ybn8C6LtTqTztw,0.0015916194134437248,41,birank,2860,20
wUZXm4KN2wIqlfkvXVZXUw,0.001584187179154475,42,birank,3906,20
eJaeTZlIdM3HWCq__Ve4Wg,0.001580590918137375,43,birank,3185,20
qsm7SkX60JsajT7Yz248FA,0.0015162757528374249,44,birank,2675,20
g-IXI3v3fOudMsyLPKb-eQ,0.0015039686497951249,45,birank,3402,20
UuRZpgZsHX7PyykHV3wbZg,0.0014884321085156002,46,birank,2633,20
zwrgCMuZyFX46mL3piDyjg,0.00147951607793535,47,birank,3181,20
_V6hl1oGkTV2KbGeax_HPA,0.001473644823925625,48,birank,3352,20
hjRxa6xpKOwnbUgGvVCE5Q,0.0014629355531641,49,birank,2198,20
NFzfuIFghE-HnrodHpaT6A,0.0014559673411315749,50,birank,2694,20
nTBStZYJfHGdSZJbpaBiPA,0.001417838705386375,51,birank,2951,20
yZHiutcbym-xLGkmFhP-9A,0.001415547875103425,52,birank,3317,20
jar_5KMQZtgOseRdUN3L0w,0.00141147760022635,53,birank,3942,20
Q6BQcgabriKd5wPxvzOIWg,0.0014082349106053,54,birank,2902,20
XJ1KN2kQGBIo8h1nWvZNzw,0.001406619040761525,55,birank,2081,20
mRpk0A4u0hnF0lNe1h4hGg,0.0013961976248101,56,birank,2013,20
3wo9jODQnuvBm8Gkem6qXg,0.0013838546380994,57,birank,4033,20
SYHDOHRNAH-2xsw3XB5qbg,0.001368119807408075,58,birank,3387,20
ompDR5sUDpoI6gnTldmneQ,0.0013197662364383,59,birank,1993,20
JrG4NINLspXPNhSXg7Q07Q,0.001307238758885675,60,birank,1828,20
TF3qNGUBUgIYp6u0j79JHQ,0.0012829722554144251,61,birank,2411,20
OZcl2HOUXAHuICrh5d2WjQ,0.00127485172365125,62,birank,2937,20
iOFbMitGdfU6i5xm4nZ8Ww,0.0012687941320079499,63,birank,1998,20
4VXVP21v4Xec6C2mnnBnGw,0.0012632158093819751,64,birank,2195,20
n_7EQxn0ciucIOJfpWVaTQ,0.0012628755788811,65,birank,3113,20
tMtI6ECD6hwM-nFp2kXLKQ,0.001247798251233475,66,birank,5324,20
IQ-FUxpwpibrfOpj6d8Asg,0.00124504364281815,67,birank,2388,20
thlyktt2c7v1DyOpSVSibw,0.0012446956384317,68,birank,2382,20
Hp1nkc3c3Q7_8oKXFn0vbw,0.001235882630728775,69,birank,1383,20
4WdDY97x4GdMYtyk1KQMnw,0.001234437598702175,70,birank,2660,20
6FX09pOrazvGT9s6_nQ7CQ,0.00122383830488455,71,birank,2775,20
oqbhVgliVJH-iRa3AnD-3A,0.001206880694581075,72,birank,4030,20
nB0dV8yPv29F3-CFMPG8cw,0.0012066544012816001,73,birank,2826,20
