domain,method,rho,p_value,ndcg10,ci_lo,ci_hi
coffee,hybrid_anti_loyalty_als,0.0038,0.7717,0.5522,0.5354,0.5685
coffee,hybrid_explore_als,0.0898,0.0,0.5735,0.5572,0.5911
coffee,baseline_popularity,-0.0702,0.0,0.5734,0.5581,0.59
coffee,baseline_random,-0.0101,0.4385,0.5598,0.5431,0.5769
restaurant,hybrid_anti_loyalty_als,0.1074,0.0,0.3712,0.3646,0.3776
restaurant,hybrid_explore_als,0.0002,0.9669,0.3739,0.3674,0.3795
restaurant,baseline_popularity,-0.0277,0.0,0.3805,0.3741,0.3866
restaurant,baseline_random,-0.0004,0.9343,0.3854,0.3792,0.3914
hotel,hybrid_anti_loyalty_als,-0.0084,0.7558,0.6523,0.6229,0.6852
hotel,hybrid_explore_als,0.1949,0.0,0.6915,0.6591,0.7231
hotel,baseline_popularity,-0.1158,0.0,0.7058,0.6743,0.7408
hotel,baseline_random,0.0452,0.0945,0.6544,0.6239,0.687
london,hybrid_anti_loyalty_als,0.2437,0.0,0.5413,0.532,0.5501
london,hybrid_explore_als,0.0943,0.0001,0.5592,0.5511,0.5675
london,baseline_popularity,0.032,0.1869,0.5572,0.549,0.5651
london,baseline_random,-0.0129,0.5942,0.5382,0.5295,0.5466
uk_fsq,hybrid_anti_loyalty_als,0.2097,0.0,0.1218,0.1098,0.1332
uk_fsq,hybrid_explore_als,0.0401,0.0,0.215,0.1997,0.2282
uk_fsq,baseline_popularity,-0.3603,0.0,0.3156,0.3006,0.3298
uk_fsq,baseline_random,0.0038,0.6848,0.1735,0.163,0.1847
