business_id,rating_mean,rating_count,popularity_visits,revisit_rate,unique_users,repeat_users
-0__F9fnKt8uioCKztF5Ww,3.878787878787879,66,160,0.0,66,0
-0eUa8TsXFFy0FCxHYmrjg,3.9642857142857144,28,61,0.0769230769230769,26,2
-0epFLgYq2C1Jo_W4FOBKw,4.222222222222222,18,39,0.1333333333333333,15,2
-0gRYq5UjMtZbELj0KHxzA,3.593984962406015,133,424,0.0390625,128,5
-0iIxySkp97WNlwK66OGWg,3.721030042918455,233,682,0.0502283105022831,219,11
-2BDt9OdGiBONysWCdKgNg,3.0,17,61,0.0625,16,1
-2dvQxx3cYXd5XmFdDDsDA,2.3703703703703702,27,65,0.0,27,0
-3-6BB10tIWNKGEF0Es2BA,4.178571428571429,140,388,0.0526315789473684,133,7
-34c4hcDPIInTROr8Xtxtw,4.733333333333333,30,71,0.0,30,0
-3dkEoYgH8AlUtBMZvzUfg,2.619047619047619,21,170,0.1111111111111111,18,2
-4jxTEaNONDDsC0Xzzp1UQ,4.44,25,173,0.0869565217391304,23,2
-6TttC-1-rf5gC0QHWrs_w,3.5428571428571427,35,108,0.0967741935483871,31,3
-6kIZWnXPuDC6JiQJ-A1fg,3.317073170731707,41,544,0.0512820512820512,39,2
-6nQZ-QCkAyNHdtaxOxDpQ,4.024390243902439,82,266,0.0379746835443038,79,3
-7CqBmK0zxwyjEqa3LBVSw,2.7142857142857144,35,127,0.0,35,0
-7Rx5jVeQmlVoAU_oXrzew,1.0,11,27,0.0,11,0
-7qO7OvcQS7t6v6uHxDAxw,4.166666666666667,6,31,0.0,6,0
-85kJMtb9wqNWDT8yLbitw,3.6666666666666665,36,433,0.0588235294117647,34,2
-8_ufROuDzIWxFAny4FasQ,3.6875,16,23,0.0,16,0
-8luB5pJ7d9UOoiF7wikkw,4.075268817204301,186,882,0.0164835164835164,182,3
-8oD6dtRRUpkIFSkJ46UqA,3.5384615384615383,13,13,0.0,13,0
-8uatt4iWxUproNMOd1srw,4.107142857142857,28,66,0.0769230769230769,26,2
-9lL4yFBX_7XVqUr8cwytg,3.6791044776119404,134,308,0.0229007633587786,131,3
-9rRsa_9GTkSYkPdKa7T8A,2.5538461538461537,130,409,0.0317460317460317,126,4
-9yzQQ0d_rcOD2CzdTNO_Q,1.95,20,74,0.0,20,0
-9zDI4h2dE3hFOpGFHB10Q,4.815789473684211,38,52,0.0,38,0
