business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,subcategory
sB45WFgysT617bKWP_WJwA,Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,38.6001971,-90.2135377,4.5,605,1,"Bars, Beer Gardens, Food, Breweries, Nightlife, Tours, Pubs, Wine Tours, Beer Tours, Hotels & Travel",Hotel
hUQ9Z7kQeabvhPOAQOVV1A,Rathbone Mansions,1244 Esplanade Ave,New Orleans,LA,70116,29.9670548,-90.0658282,3.5,67,1,"Hotels, Hotels & Travel, Bed & Breakfast, Event Planning & Services",B&B
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,2800 Opryland Dr,Nashville,TN,37214,36.2115923083,-86.6943191727,3.0,1639,1,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas",Resort
Nh1rc9aSeO-Y5lYmXVS6CA,Quality Inn Nashville Downtown - Stadium,303 Interstate Dr,Nashville,TN,37213,36.1688337591,-86.766910851,2.0,53,1,"Hotels & Travel, Event Planning & Services, Hotels",Hotel
6I_DA3uqOox50rBvjrQ_-g,Aloft Philadelphia Airport,4301 Island Ave,Philadelphia,PA,19153,39.8911246892,-75.2342512699,3.0,175,1,"Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces",Hotel
Qa1YQzo00sm9O0JUlwdCQw,Taste of Nawlins,504 Madison St,New Orleans,LA,70116,29.9580151,-90.0618951,4.0,178,1,"Historical Tours, Tours, Hotels & Travel, Food Tours, Walking Tours",Hotel
FbGjCCc7bbJVWq3Kt5lamQ,Ernie's Tours,"828 Bourbon St, Apt E",New Orleans,LA,70116,29.9599126,-90.064281,5.0,52,1,"Walking Tours, Tours, Hotels & Travel, Historical Tours",Hotel
ZuOtTcUKmthgvhKo7B_-sg,Music City Pub Crawl,Commerce St & 2nd Ave N,Nashville,TN,37201,36.1632454,-86.7760574,4.5,55,1,"Historical Tours, Hotels & Travel, Bar Crawl, Walking Tours, Tours, Nightlife, Beer Tours",Hotel
rTW2Og0Tg-OkLTvRwgYO9Q,Courtyard by Marriott Nashville Downtown,170 4th Ave N,Nashville,TN,37219,36.1636657502,-86.7784967447,3.0,110,1,"Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Hotels",Hotel
v5nFmEgsJL8Cqk_9obH-QQ,International Medical Group,2960 N Meridian St,Indianapolis,IN,46208,39.809651,-86.158532,1.0,129,1,"Travel Services, Financial Services, Insurance, Hotels & Travel",Hotel
qawLaB79bFiXEtFc5SEBkQ,Crowne Plaza Philadelphia - King of Prussia,260 Mall Blvd,King Of Prussia,PA,19406,40.0911552,-75.3887632,3.0,64,1,"Hotels & Travel, Hotels, Event Planning & Services, Resorts, Venues & Event Spaces",Resort
_d5OAxaxRPsivgYbBq7U1A,Hyatt Place Philadelphia/King of Prussia,440 American Ave,King of Prussia,PA,19406,40.0944575489,-75.3974799022,3.5,62,1,"Hotels, Event Planning & Services, Hotels & Travel",Hotel
s2SoiyZzBwzaxxXCXqJ56g,The Tuxon Hotel,960 S Fwy,Tucson,AZ,85745,32.210012,-110.980723,4.0,56,1,"Event Planning & Services, Hotels & Travel, Tours, Bikes, Shopping, Hotels, Sporting Goods",Hotel
sway6xsRT_CUC6peK_Pyww,Bobby Hotel,230 4th Ave N,Nashville,TN,37219,36.1647114553,-86.7793040316,3.5,178,1,"Hotels, Restaurants, Cocktail Bars, Event Planning & Services, Lounges, Hotels & Travel, Bars, Nightlife",Hotel
F6lNQPwg4gyg76wNyimxjQ,Ride The Ducks,6th and Market Streets,Philadelphia,PA,19106,39.950968,-75.150328,3.5,83,0,"Tours, Local Flavor, Hotels & Travel",Hotel
AAFofLiyt_K1Ar_eEuVc7g,Crowne Plaza Hotel Philadelphia Downtown,1800 Market St,Philadelphia,PA,19103,39.9528337,-75.1703455,3.0,59,0,"Venues & Event Spaces, Hotels, Event Planning & Services, Hotels & Travel",Hotel
2oav5QoWgnvTI2gO5xFMjw,Kimpton Hotel Monaco Philadelphia,433 Chestnut St,Philadelphia,PA,19106,39.9491236494,-75.1488953439,4.0,499,1,"Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Hotels, Wedding Planning",Hotel
p7RzIdqbVGD-qaqPx2WRtw,Fretz RV,3479 Bethlehem Pike,Souderton,PA,18964,40.3185418,-75.3031801,3.0,52,1,"RV Parks, Car Dealers, RV Dealers, RV Repair, Hotels & Travel, Auto Repair, RV Rental, Automotive",Hotel
KBDlQpRaxMDTGcZwp2HLEw,Courtyard by Marriott Reno,6855 South Virginia Street,Reno,NV,89511,39.4643314887,-119.7849038243,3.0,105,1,"Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Hotels",Hotel
cxupofYLq46bxBHpKyFwsQ,Wyndham New Orleans - French Quarter,124 Royal Street,New Orleans,LA,70130,29.953713,-90.068526,3.0,266,1,"Event Planning & Services, Hotels, Hotels & Travel",Hotel
tH10ZuH28GrccqTZ6TTl7A,Carnival Cruise Lines,651 Channelside Dr,Tampa,FL,33602,27.9437745,-82.4458698,2.5,173,1,"Hotels & Travel, Tours, Arts & Entertainment",Hotel
pAgtmlIGqFYaWdBoCUeitw,Holiday Inn Nashville-Vanderbilt,2613 West End Ave,Nashville,TN,37203,36.1448682715,-86.8110662472,3.5,105,1,"Fashion, Event Planning & Services, Venues & Event Spaces, Hotels, Shopping, Hotels & Travel, Women's Clothing",Hotel
xvdsyHdYsEbm_Cqs0BgdEw,DoubleTree Suites by Hilton Hotel Nashville Airport,2424 Atrium Way,Nashville,TN,37214,36.159844716,-86.689278864,3.0,64,1,"Event Planning & Services, Hotels, Hotels & Travel",Hotel
hkh5iyDeGLNhu-JUQFRE1Q,Royal Sonesta New Orleans,300 Bourbon St,New Orleans,LA,70130,29.9557609,-90.0678872,3.5,492,1,"Event Planning & Services, Hotels & Travel, Hotels, Restaurants, Bed & Breakfast",B&B
G84WORbq6Muqq2SIthWOeQ,Avis Rent A Car,1625 National Guard Way,Reno,NV,89502,39.49894,-119.77855,1.5,52,1,"Car Rental, Hotels & Travel",Hotel
w5VWdlVKW8FPF6AFk2JrOg,Days Inn by Wyndham New Orleans Airport,1021 Airline Drive,Kenner,LA,70062,29.981823,-90.260594,1.5,92,1,"Hotels & Travel, Event Planning & Services, Hotels",Hotel
P8X2NUCEQm-YPTS3em1Kgg,Hubbard's Marina,170 Johns Pass Boardwalk,Madeira Beach,FL,33708,27.785057,-82.78183,4.5,347,1,"Fishing, Beaches, Boating, Active Life, Boat Charters, Travel Services, Event Planning & Services, Hotels & Travel, Diving",Hotel
5LONkt7iDMndF3qjN6ufpw,"La Posada Lodge & Casitas, Ascend Hotel Collection",5900 North Oracle Rd,Tucson,AZ,85704,32.31409,-110.9769394,3.0,100,1,"Hotels, Resorts, Event Planning & Services, Hotels & Travel",Resort
7j8rT3FZbXgL4k0DnXi2Mw,"West Beach Inn, a Coast Hotel",306 W Cabrillo Blvd,Santa Barbara,CA,93101,34.4092802,-119.69348,4.0,137,1,"Event Planning & Services, Hotels, Hotels & Travel",Hotel
sDPqVcZnikNvpDq7Ecf6dA,Payless Car Rental,,Reno,NV,89502,39.5066445913,-119.7753900495,2.0,63,1,"Car Rental, Hotels & Travel",Hotel
fYnvhdWXgWit8DhDLPrSTQ,Shangri-La Bath & Sauna,5636 E Hillsborough Ave,Tampa,FL,33610,27.996714,-82.3913739,4.5,85,1,"Health & Medical, Saunas, Sports Clubs, Hotels & Travel, Active Life, Beauty & Spas, Resorts, Day Spas, Food",Resort
o3HubYII2z42Bi8kokVm3A,Magic Walking Tours,441 Royal St,New Orleans,LA,70116,29.95646,-90.06633,4.5,91,0,"Screen Printing, Hotels & Travel, Walking Tours, Landmarks & Historical Buildings, Tours, Local Services, Guest Houses, Education, Local Flavor, Public Services & Government, Printing Services, Historical Tours, Educational Services",Hotel
YxhdfdhRZjJHPFxaADnNVg,Conicelli Toyota of Conshohocken,550 Ridge Pike,Conshohocken,PA,19428,40.0964353,-75.2949047,3.0,142,1,"Auto Repair, Automotive, Hotels & Travel, Car Rental, Body Shops, Car Dealers",Hotel
qQmdJFMWoDe2T2lbacBE8g,Best Western Plus Pepper Tree Inn,3850 State St,Santa Barbara,CA,93105,34.4408758,-119.7486002,3.5,210,1,"Event Planning & Services, Hotels & Travel, Hotels",Hotel
_E0WPHfJEYmwOUCAj-Jq1A,Western Village Inn and Casino,815 Nichols Blvd,Sparks,NV,89434,39.5344459,-119.7344361,3.5,266,1,"Casinos, Hotels, Arts & Entertainment, American (New), Restaurants, Event Planning & Services, Hotels & Travel",Hotel
1mJS5vRCuIw1-ecLgCa8pQ,General RV Center,13396 US Hwy 92,Dover,FL,33527,28.0211098,-82.2247794,2.0,133,1,"Automotive, RV Repair, Auto Parts & Supplies, RV Rental, RV Dealers, Hotels & Travel",Hotel
