osm_id,osm_type,name,category,amenity,lat,lon,postcode,street,cuisine,website
451152,node,King of Prussia,Pub,pub,51.6008404,-0.1946078,N3 1DH,Regents Park Road,pizza;burger,https://www.thekingfinchley.com
451153,node,Central Restaurant,Restaurant,restaurant,51.6020306,-0.1935029,,,,
451154,node,The Catcher in the Rye,Pub,pub,51.5995788,-0.196028,N3 1DP,Regents Park Road,,
451271,node,The Tally Ho,Pub,pub,51.6141038,-0.1765556,N12 0BP,High Road,,https://thetallyhopub.co.uk/
12242503,node,Railway Bell,Pub,pub,51.5920158,0.0279621,,,,https://www.greeneking.co.uk/pubs/greater-london/railway-bell
13353276,node,The Harrow,Pub,pub,51.4097991,-0.4440569,,,,
15262028,node,The Monkey Puzzle,Pub,pub,51.5164813,-0.1698266,W2 1JQ,Southwick Street,,https://themonkeypuzzlepub.co.uk/
18235090,node,The Arab Boy,Pub,pub,51.4628591,-0.2266975,SW15 6SP,Upper Richmond Road,,
20599885,node,Golden Lion,disused_pub,disused_pub,51.5302738,-0.117551,,,,
20821133,node,The Union Bar,Pub,pub,51.5004234,-0.1777428,,,,
20973312,node,Kings Arms,Pub,pub,51.4691887,-0.2100687,SW6 4RN,New King's Road,,https://www.kingsarms-fulham.co.uk/
20973316,node,The Waterside,Pub,pub,51.4727261,-0.1811598,SW6 2SU,The Boulevard,,
21593232,node,The Last Judgement,Pub,pub,51.5153316,-0.1117428,WC2A 1DT,Chancery Lane,,
21593236,node,Ship Tavern,Pub,pub,51.5172518,-0.1191791,WC2A 3HP,Gate Street,,
21593237,node,The Polish Bar (Na Zdrowie),Bar,bar,51.5173465,-0.1189566,WC1V 7DX,Little Turnstile,polish,
21593238,node,All Bar One,Bar,bar,51.5163376,-0.119321,WC2B 6DX,Kingsway,,
21686579,node,White Haus,Pub,pub,51.5154029,-0.1043348,EC4A 4AB,Farringdon Street,,https://www.thewhitehaus.co.uk/
21693791,node,The Saint,Bar,bar,51.5150736,-0.0997325,EC4M 7DQ,Rose Steet,,http://www.jamies.london/bars/the-saint
21979927,node,Costa,Coffee Shop,cafe,51.3981188,-0.4129625,,,coffee_shop,
21980919,node,Old Manor Inn,Pub,pub,51.3886519,-0.4228087,KT12 2NZ,Manor Road,,
25471087,node,Marquess of Anglesey,Pub,pub,51.5128467,-0.1212167,,Bow Street,,https://www.themarquess.co.uk/
25473538,node,The Liberty Bounds,Pub,pub,51.509731,-0.0785318,EC3N 4AA,Trinity Square,,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-liberty-bounds-tower-of-london
25475187,node,The Cheshire Cheese,Pub,pub,51.5114165,-0.0776978,EC3N 2AP,Crutched Friars,,https://www.greatukpubs.co.uk/cheshire-cheese-tower-hill
25475389,node,Woburn Cafe,Coffee Shop,cafe,51.5265807,-0.1292505,,,,
25475914,node,The Swan,Pub,pub,51.5210917,-0.1228519,,,,https://www.greeneking.co.uk/pubs/greater-london/swan
25496840,node,26 Furnival Street,Pub,pub,51.5167141,-0.1103638,EC4A 1JS,Furnival Street,,https://www.26furnivalstreet.com/
25497832,node,Cafe Angel,Coffee Shop,cafe,51.5247641,-0.1161125,,,,
25510381,node,Crown & Cushion,Pub,pub,51.4994616,-0.1139642,SE1 7HR,Westminster Bridge Road,,https://www.thecrownandcushion-london.foodanddrinksites.co.uk/
25523569,node,Shortlands Tavern,Pub,pub,51.4053384,0.0034181,BR2 0EY,Station Road,,https://www.shortlandstavern.co.uk/
25524219,node,The Railway,Pub,pub,51.3803526,-0.0133037,,,,
25592547,node,The Duke of York,Pub,pub,51.5089598,-0.3385051,W7 3SP,Uxbridge Road,,
