business_id,birank_score,rank
Q54wPRfbmO8egJeVTmSkYQ,0.00014908911560212047,1
SoiO_O-zWB_tjInFX-Ohew,0.00014449112515810145,2
y722Xl3huHSZ_Ksw8q4jgA,0.00014191884423201076,3
CXdp02VLnzNlILu9R6Y_wA,0.0001332008450675338,4
O8g74-JVBFAtVQp2m7pSog,7.797491018966364e-05,5
0z7YDoPXcrkWxAFQsKQoEA,7.721253367211229e-05,6
kujydgFuWhlyEE0gYF6VxA,7.559506712016881e-05,7
MfnKRPKKMNtl1tIhJVReRA,7.207022171116987e-05,8
nt48G3G6MbLi_-6zqcSmAQ,7.140276147104368e-05,9
37lC8Vo0L3pVIdsyxRVw5A,6.986951301785951e-05,10
3OzjmMmkVydF75t8VeY73A,6.338037587079889e-05,11
-Fu_WCaPIFgCxeXOkZDCUQ,6.321945714519664e-05,12
0xmV6WSKyq0SFUa_uZKocw,6.313151423722403e-05,13
1dSKEitDDgIkaApe6UNMSA,6.313151423722403e-05,14
25mAMIj-v-lMqJBqj9cgOA,6.313151423722403e-05,15
66_WG_4S4tqInf2Oo4MBaw,6.313151423722403e-05,16
AhFH5rzEn1OG4kRxdI3krA,6.313151423722403e-05,17
GRmG8w-guTT3Wp-MoRSQpA,6.313151423722403e-05,18
GVh_85IyQCG9VeSILx3Nng,6.313151423722403e-05,19
MDhAG3z-yHiJzU8Lh2wraw,6.313151423722403e-05,20
Sb01Vv9zFQ4ezlNRLAQhng,6.313151423722403e-05,21
TnX9d0vOsmoiSpb28K_bmg,6.313151423722403e-05,22
W4l9PZV49TzcaeitK7DFng,6.313151423722403e-05,23
Y2Uw5OJBU3DdBUZurDrUpw,6.313151423722403e-05,24
axVJ079DwAgq_esNBMxLig,6.313151423722403e-05,25
azSdxiyUeNQOVmA2GUovkg,6.313151423722403e-05,26
by0REISxlPfRfCrMmULXaw,6.313151423722403e-05,27
npJ1vyfzhaYdLghTaV8-rQ,6.313151423722403e-05,28
u1U6SCaE_B9cvoY0qQkkpw,6.313151423722403e-05,29
ygYqHrEF7BCoeo3caXnb6Q,6.313151423722403e-05,30
g-Q7m7G3Xrez_Vc2T4wqNQ,6.20211441416571e-05,31
kVNgwyg7f5-ZAFJalaLWYw,6.189358837973557e-05,32
y1dRYbYp0ah3HHJxsZ49bw,6.0984010632352296e-05,33
yU3PkQSwvgWU6pMfEBbmzQ,6.033273268972511e-05,34
Mm1QhCmJPmrm6j-vY9m0tg,5.685200479825166e-05,35
9dPSexvdCz4kgNNy_t0Gdg,5.632305255107586e-05,36
Nm-dWNSSUtn4kLOijYhT1w,5.584348349607685e-05,37
aNVHwcunSE7aPSc4AKRy6w,5.5177387780529574e-05,38
QcBOv7HuIFEdTo8eZTXeXg,5.457896816214152e-05,39
ZBTVbCcc8OabC9Q5rIaGlw,5.425061264151895e-05,40
tlU5rsx5kjRtpFo9tHwi6w,5.38665016191364e-05,41
Jf_GzCqHaXt6Y-3E8-AH6Q,5.38189041702311e-05,42
cZ_6nkCedEr7IfnxK0ncqQ,5.218399085957638e-05,43
7fZSqgiwInMewd18DTAKcA,5.180783088692342e-05,44
TjwgZj9_4IC8LPoY6W3AxQ,5.179750342370705e-05,45
VPzAa-LtwRUVzkOPYIiIGQ,5.0786039000997945e-05,46
4NFnmaMKWoKUDoNwa6NI-w,4.994418235103373e-05,47
eQG5bKz5S4F0jG8mMw7ohQ,4.989804688038055e-05,48
4K-6ZbfA8WW79x_rCof92g,4.987129919191277e-05,49
ywQdRFT4V8VxDHYuDEPonQ,4.971325168649324e-05,50
bjE19DpRbN-OgTMVaMwpJg,4.93802806150248e-05,51
1pGWxnSN_GAfYBoAcdb_IA,4.9295495980498176e-05,52
SJQePJL1bkeEk-6gp-6eeA,4.918883319170993e-05,53
LfpN4mXECg0NBTlIUIkTqA,4.915994822236998e-05,54
