business_id,name,city,state,latitude,longitude,stars,review_count,is_open,categories,parking_lot,parking_street,parking_valet,parking_garage
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,39.9555052,-75.1555641,4.0,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",False,True,False,False
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,Green Lane,PA,40.3381827,-75.4716585,4.5,13,1,"Brewpubs, Breweries, Food",True,,False,
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,Ashland City,TN,36.269593,-87.058943,2.0,6,1,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",False,False,False,False
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,Affton,MO,38.5651648,-90.3210868,3.0,19,0,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",True,False,False,False
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,Nashville,TN,36.2081024,-86.7681696,1.5,10,1,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",False,False,False,False
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,Tampa Bay,FL,27.9552692,-82.4563199,4.0,10,1,"Vietnamese, Food, Restaurants, Food Trucks",False,False,False,False
il_Ro8jwPlHresjw9EGmBg,Denny's,Indianapolis,IN,39.6371332838,-86.127217412,2.5,28,1,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",True,False,False,
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,Largo,FL,27.9161159,-82.7604608,4.5,100,0,"Food, Delis, Italian, Bakeries, Restaurants",True,False,False,False
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,39.953949,-75.1432262,4.0,245,1,"Sushi Bars, Restaurants, Japanese",False,True,False,
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,39.943223,-75.162568,4.5,205,1,"Korean, Restaurants",False,True,False,False
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,Edmonton,AB,53.5460453,-113.4991693,4.0,40,0,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",True,True,False,False
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,Indianapolis,IN,39.9043203184,-86.0530799,4.0,20,1,"Steakhouses, Asian Fusion, Restaurants",False,False,False,False
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,Reno,NV,39.4761165,-119.7893392,2.5,339,1,"Restaurants, Italian",True,False,False,False
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,Nashville,TN,36.2485696,-86.7199857,4.0,6,0,"Hot Dogs, Restaurants",True,False,False,False
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,Nashville,TN,36.1598858,-86.7731974,4.0,161,0,"Restaurants, Japanese, Seafood",False,False,True,True
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,39.9398245705,-75.1574465632,4.0,65,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",False,True,False,
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,White House,TN,36.4647467622,-86.6591868908,3.5,8,1,"Pizza, Chicken Wings, Sandwiches, Restaurants",False,False,False,False
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Philadelphia,PA,40.0224662,-75.218314,3.0,41,0,"Pizza, Restaurants, Salad, Soup",False,False,False,False
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,Ardmore,PA,40.0067071,-75.289671,3.5,109,1,"Pizza, Restaurants",True,True,False,False
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,39.9625821,-75.1356571,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",True,False,False,False
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,Exton,PA,40.029962,-75.630607,2.5,20,0,"Restaurants, Burgers",True,False,False,False
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,Alton,IL,38.896563,-90.1862032987,3.0,94,1,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",True,True,False,False
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,AZ,32.1323047,-110.9999851,3.0,23,0,"Restaurants, Chinese",False,False,False,False
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,Edmonton,AB,53.5446819,-113.506589,4.0,12,1,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",True,True,False,False
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,Nashville,TN,36.1483712,-86.7988947,3.5,159,0,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",False,False,False,True
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,Bala Cynwyd,PA,40.0283575,-75.2380841,5.0,12,1,"Restaurants, Italian",True,False,False,False
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,Edmonton,AB,53.547205,-113.522448,4.0,23,1,"Specialty Food, Bakeries, Food, Health Markets",True,False,False,False
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,Edmonton,AB,53.5496333,-113.5087799,5.0,20,0,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",True,True,False,False
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,Tampa,FL,28.0103596,-82.4300416,3.0,9,1,"Food, Grocery, Convenience Stores",False,False,False,False
txyXRytGjwOXvS8s4sc-WA,Smoothie King,Tucson,AZ,32.186794,-110.954765,3.0,29,1,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping",True,,False,False
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,Tampa,FL,28.0462028173,-82.5050526736,4.0,23,0,"Restaurants, American (New), Italian",True,False,False,False
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,Tampa,FL,27.9605142,-82.506127,4.0,35,0,"Restaurants, Pizza",True,False,False,False
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,Harvey,LA,29.8754822266,-90.04938,2.5,38,0,"Restaurants, Soup, Seafood, Burgers",False,False,False,False
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,Indianapolis,IN,39.9062952,-86.0474634,3.5,257,1,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants",True,False,False,False
L_TT0BFmFwORAMaA83K54A,Village Tap Room,Indianapolis,IN,39.8699114,-86.1435773,2.5,23,0,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",False,False,False,False
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,West Chester,PA,39.9615417,-75.6036042,3.0,114,0,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs",False,True,False,False
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,Indianapolis,IN,39.913292,-86.20083,4.0,13,1,"Chocolatiers & Shops, Specialty Food, Candy Stores, Food",True,,False,False
KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,Hudson,FL,28.3326007,-82.6681066,3.5,7,0,"Food, Grocery",True,False,False,False
gbN4RuUiiBxQ2GBFQ2p3Cw,Mr. Margarita,Fernley,NV,39.5139704538,-119.8472038094,5.0,7,1,"Food Trucks, Food",False,False,False,False
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,Williamstown,NJ,39.6968014,-74.9998214,2.5,29,1,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants",True,False,False,False
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,Glenolden,PA,39.9036968861,-75.2949812448,4.5,25,1,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar",True,True,False,False
-4dYswJy7SPcbcERvitmIg,Pathmark,Philadelphia,PA,39.9404026,-75.1932966,2.5,34,0,"Food, Grocery",True,False,False,False
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,Tucson,AZ,32.221667,-110.925833,3.5,9,0,"Italian, Restaurants",True,False,False,False
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,Wesley Chapel,FL,28.1962523878,-82.3806153496,4.5,95,1,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)",False,False,False,False
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,Indianapolis,IN,39.8755319,-86.0828565,4.5,139,1,"Food, Beer, Wine & Spirits, Breweries",True,False,False,False
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,39.954573,-75.1948936,3.0,56,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",False,True,False,False
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,Burlington,NJ,40.0416285,-74.8258209,3.5,6,0,"Restaurants, Japanese, Sushi Bars, Asian Fusion",True,False,False,False
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,Santa Barbara,CA,34.4144445,-119.6906718,4.0,389,1,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",False,True,False,False
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,New Orleans,LA,29.9506467229,-90.0744274301,4.5,350,1,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces",False,True,False,True
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,Camden,NJ,39.9466899,-75.123327,4.5,6,1,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food",False,True,False,False
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,Nashville,TN,36.1626492,-86.7759733,4.5,593,1,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",False,True,False,False
RK6-cJ9hj53RzOlCBmpT-g,Impasto,Tampa,FL,27.890814,-82.5023464,5.0,5,1,"Restaurants, Italian, Food Trucks, Food",False,False,False,False
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,Reno,NV,39.476518,-119.7840369,4.5,5,1,"Sporting Goods, Sports Wear, Fashion, Restaurants, Fast Food, Sandwiches, Shopping",True,False,False,False
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,Saint Louis,MO,38.6172724,-90.2127841,3.5,80,0,"American (New), Restaurants, Cafes, Italian, American (Traditional)",False,True,False,False
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,Fairview Heights,IL,38.6012982,-89.9896835,2.5,14,1,"Seafood, Restaurants",True,False,False,False
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,New Orleans,LA,29.9554151,-90.0700619,4.0,382,1,"Restaurants, Seafood, Cajun/Creole",False,False,False,
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,Wilmington,DE,39.7320886,-75.6256733,4.0,23,1,"Mexican, Restaurants",True,False,False,False
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,Treasure Island,FL,27.7694046,-82.767317,4.0,129,1,"Restaurants, French, Moroccan, Seafood, Mediterranean",,False,False,False
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,Saint Louis,MO,38.5832229,-90.4071872,4.0,73,1,"Bars, Lounges, American (New), Restaurants, Nightlife, Wine Bars",True,True,False,False
sB45WFgysT617bKWP_WJwA,Budweiser Brewery Experience,Saint Louis,MO,38.6001971,-90.2135377,4.5,605,1,"Bars, Beer Gardens, Food, Breweries, Nightlife, Tours, Pubs, Wine Tours, Beer Tours, Hotels & Travel",True,True,False,False
Fk1xpM7fjqEJ4paqk5ZFSg,Jamba Juice,Boise,ID,43.6478323,-116.3520706,3.0,19,0,"Juice Bars & Smoothies, Food",False,False,False,False
4dVrWc4Nhuw9apfk9BWEcA,Walmart Supercenter,Tarpon Springs,FL,28.1477204,-82.7425681,2.0,29,1,"Grocery, Food, Shopping, Fashion, Drugstores, Department Stores, Discount Store, Electronics",True,False,False,False
kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,Blue Bell,PA,40.1490655,-75.3060284,3.0,29,1,"Grocery, Food",True,False,False,False
qFX8IdomeBVhDPCSyz2aRg,Nashville Delivers,Brentwood,TN,36.002397,-86.7023814,3.5,7,1,"Couriers & Delivery Services, Local Services, Food, Food Delivery Services",False,False,False,False
VZzivJEbmHItOxNXJB3SpA,Subway,Brentwood,TN,36.0263631408,-86.7894728157,2.5,14,1,"Sandwiches, Fast Food, Restaurants",False,False,False,False
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,Tucson,AZ,32.3385723,-111.0107602,4.0,22,1,"Pizza, Restaurants",False,False,False,False
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,Woodbury,NJ,39.8444681,-75.1248703,3.5,29,1,"Nightlife, Chicken Wings, Pubs, Bars, American (Traditional), Restaurants",True,,False,
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,39.963077709,-75.1680274529,3.0,137,1,"Restaurants, Chinese",False,True,False,False
FRYkg_JvsWU9xIXZsEZcVA,Altamura,New Orleans,LA,29.9333877563,-90.079498291,3.5,27,0,"Cocktail Bars, Italian, Nightlife, Seafood, Bars, Restaurants",False,False,False,False
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,Tucson,AZ,32.206315,-110.887843,3.5,56,1,"Bars, Restaurants, Sports Bars, Nightlife",,,False,False
k0yyD71s2F2eEKWRdkZ6jA,Cold Stone Creamery,Indianapolis,IN,39.7628744,-86.3257127,3.0,19,1,"Custom Cakes, Food, Desserts, Cupcakes, Ice Cream & Frozen Yogurt",True,False,False,False
dM5OKNzk9AL2aiq-fV-SYg,Walmart Supercenter,Brownsburg,IN,39.8591499,-86.3964221,1.5,14,1,"Discount Store, Department Stores, Food, Drugstores, Shopping, Grocery, Fashion, Mobile Phones",True,False,False,False
0vCsslN-TYnDeOSNT4rIfg,Whole Foods Market,Carmel,IN,39.999084,-86.131076,3.5,44,1,"Food, Organic Stores, Specialty Food, Health Markets, Grocery",True,False,False,False
zFvqulgAYOpSG2t1v8AZ-w,The Cake Drip,Tampa,FL,27.935753,-82.4764699,4.0,40,1,"Desserts, Do-It-Yourself Food, Food, Patisserie/Cake Shop",False,False,False,False
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,Santa Barbara,CA,34.4087147,-119.6850187,4.0,2404,1,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife",False,False,False,False
PYW8Buz8S8LpjIe6mZTAcw,Payless Liquors,Greenwood,IN,39.632279734,-86.158674289,3.5,13,1,"Food, Beer, Wine & Spirits",False,False,False,False
Lx8ZYUJ_-3Aa8N821mN1WQ,ALM Kainan,Sparks,NV,39.5371788,-119.7355322,4.0,13,0,"Restaurants, Filipino",True,False,False,False
uCQqtYW_xc1EJRm7NyakdA,Yogurt Beach,Reno,NV,39.523904,-119.777525,4.5,12,1,"Food, Desserts",False,False,False,False
WYYdQDjx-DsCanlP0DpImQ,J Sushi,Philadelphia,PA,39.9470334,-75.1574339,4.5,72,0,"Seafood, Restaurants, Sushi Bars, Japanese",False,True,False,False
aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,Largo,FL,27.894167,-82.779866,3.0,19,1,"Mexican, Fast Food, Restaurants",True,False,False,False
oCFcoyGx2VRZ8MHXEsV8tQ,Giant Food Store,Brookhaven,PA,39.877374,-75.394007,2.5,10,0,"Food, Grocery",True,False,False,False
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,Nashville,TN,36.162799,-86.776016,4.0,182,1,"Nightlife, Restaurants, Bars, Mexican",False,True,False,
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,Nashville,TN,36.112075744,-86.7674462724,1.5,37,1,"Burgers, Restaurants, Fast Food",True,False,False,False
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,Madison,TN,36.296536,-86.700179,3.5,40,1,"Restaurants, Barbeque",True,False,False,False
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,Ewing,NJ,40.2668877,-74.8056572,4.0,52,1,"Italian, Restaurants",True,False,False,False
m9ncuZp0nEVhIwu24G-HRw,CVS Pharmacy,Indianapolis,IN,39.7371,-86.1391,2.5,10,1,"Pharmacy, Health & Medical, Convenience Stores, Drugstores, Food, Shopping",False,False,False,False
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,Nashville,TN,36.2115923083,-86.6943191727,3.0,1639,1,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas",True,False,False,False
1GnJDrpp-jyDRCptavD9RQ,Rita's Italian Ice,Aston,PA,39.8649175,-75.4275762,4.0,7,1,"Food, Ice Cream & Frozen Yogurt, Desserts, Shaved Ice",True,False,False,False
P10BsKUeoeCeVoK4BS2u0w,Trust Me BBQ,Riverview,FL,27.8652573,-82.3260903,4.0,29,0,"Restaurants, Barbeque",False,False,False,False
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,Saint Petersburg,FL,27.7972626,-82.7339127,3.5,17,0,"Japanese, Sushi Bars, Restaurants",True,False,False,False
h_qlv6CIXGVurFOhFQ945w,Tim Hortons,Edmonton,AB,53.5599789914,-113.6162690363,3.5,6,1,"Coffee & Tea, Food",True,,False,
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,Tampa,FL,28.0548882706,-82.3995484,3.0,5,1,"Fast Food, Sandwiches, Chicken Shop, Restaurants",False,False,False,False
LGqiubTmpJ-A1L5n7dmc6g,Domino's Pizza,Harvey,LA,29.8753202,-90.045817,1.5,14,0,"Restaurants, Sandwiches, Pizza, Chicken Wings",True,False,False,False
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,Philadelphia,PA,39.9565280024,-75.178013742,4.0,19,1,"Grocery, Food",True,False,False,True
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,Warrington,PA,40.2295269733,-75.1310898382,2.5,25,1,"Pizza, Restaurants",False,False,False,False
AzwiKZjVqHOxLaYtPAx8lA,Target,Wyncote,PA,40.076229,-75.155305,2.5,37,1,"Shopping, Department Stores, Grocery, Fashion, Food, Electronics, Furniture Stores, Home & Garden",True,False,False,False
yM8LlTInbQH4FwWC97lz6w,McDonald's,St. Louis,MO,38.6124951839,-90.2219420671,1.5,100,1,"Fast Food, Restaurants, Food, Burgers, Coffee & Tea",True,False,False,False
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,Lutz,FL,28.192191035,-82.396367,4.0,75,1,"Restaurants, American (New), Burgers, Fast Food, Steakhouses",False,False,False,False
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,Philadelphia,PA,40.012141,-75.1150148,1.5,15,1,"Burgers, Restaurants, Fast Food",False,False,False,False
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,Langhorne,PA,40.2177843,-74.9265858,1.5,27,1,"Japanese, Chinese, Restaurants, Thai",True,False,False,False
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,King of Prussia,PA,40.1124813,-75.3799748,3.5,60,1,"Restaurants, Bakeries, Caterers, Bagels, Food, Event Planning & Services",True,False,False,False
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,Philadelphia,PA,39.9764555,-75.1270254,4.0,105,1,"Food, Coffee & Tea",False,True,False,False
IYlUaKC9nICjiWdk-ShPlg,Bub's Cafe,Carmel,IN,39.976614,-86.130124,4.0,175,0,"Restaurants, Breakfast & Brunch",True,True,False,False
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle ,Indianapolis,IN,39.781126,-86.1241235,5.0,7,1,"Arts & Entertainment, Nightlife, Jazz & Blues, Restaurants, Pizza, Southern",False,False,False,False
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,Clearwater,FL,27.9657471097,-82.7989008,4.5,6,1,"American (Traditional), Restaurants, Burgers, Wraps, Sandwiches, Bars, Nightlife, Beer Bar",False,False,False,False
ULReFPrCIDRbGKwP3ZsHwg,Eddie's Southtown Donuts,Saint Louis,MO,38.5857552,-90.2768425,4.5,55,1,"Donuts, Food",True,False,False,False
rCoWa-C7Os51GjFkCnFlVw,Rite Aid,Voorhees,NJ,39.852159,-74.98264,4.5,6,1,"Drugstores, Convenience Stores, Food, Shopping",False,False,False,False
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,Indianapolis,IN,39.8887246,-86.1212129,4.0,246,1,"Steakhouses, Restaurants, Sushi Bars, Japanese",True,False,False,False
8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,New Port Richey,FL,28.2502179787,-82.6824409515,4.0,5,0,"Hawaiian, Food, Food Trucks, Street Vendors, Restaurants",False,False,False,False
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,Tampa,FL,28.09236,-82.500588,4.0,108,1,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues",False,True,False,False
6BF3eaIzHtoNHSxKTFnTyg,Mister B's Cigar Box,Avon,IN,39.7627741475,-86.3793863588,3.5,13,1,"Bars, Lounges, Nightlife, Pizza, Restaurants, Shopping, Tobacco Shops, Hookah Bars",True,False,False,False
wjyUxHxkrvUvCOVqy4g_wg,Oscar's Cafe,Normandy,MO,38.704765,-90.299811,4.0,11,0,"Restaurants, American (Traditional)",False,False,False,False
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,New Orleans,LA,29.976762,-90.086423,4.5,8,0,"American (New), Food, Bars, Nightlife, Lounges, Restaurants",False,False,False,False
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,Tucson,AZ,32.3387235226,-111.0303098651,4.0,58,1,"Sports Bars, Bars, Nightlife, Italian, Restaurants, Pizza",True,False,False,False
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,Philadelphia,PA,39.9385518,-75.1496356,4.5,183,1,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",False,True,False,False
7FHjj04Wy2aqXl22NA_C0g,Aldi,Indianapolis,IN,39.9250893,-86.0342432,4.0,18,0,"Grocery, Food",True,False,False,False
6czqMScx8MRDirv7fxX7pw,Frankie's Fruit Bar,Reno,NV,39.4928018965,-119.7929971762,4.5,34,1,"Specialty Food, Food, Shaved Ice, Juice Bars & Smoothies, Fruits & Veggies",False,False,False,False
xbRbvXSAVZBEwaUUn3mzbg,Lee Roy Selmon's,Tampa,FL,28.0787347875,-82.5063104158,3.5,42,0,"Salad, Restaurants, Burgers, Soul Food",True,False,False,False
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,Franklin,TN,35.9565328581,-86.8027199385,4.5,112,1,"Restaurants, Italian, Nightlife, Bars, Cocktail Bars, Tapas/Small Plates",,,False,False
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,Indianapolis,IN,39.7672488945,-86.1567753553,4.0,208,0,"Restaurants, Lounges, Bars, American (New), Nightlife",False,True,False,False
