business_id,popularity,unique_visitors,repeat_user_rate,gini_user_concentration,avg_rating,rating_consistency,stability_cv,cuisine_categories,parking_lot,parking_garage,parking_valet,parking_street,peak_busyness,avg_busyness,peak_hour,walking_density,parking_score,stops_800m,departures_day_800m,nearest_stop_m,transit_access_score
MTSW4McQd7CbVtyjqoe9mw,422,80,0.075,0.0751,4.06,0.828,3.0796,"Restaurants, Food, Bubble Tea",False,False,False,True,0.0,0.0,12.0,611,0.0,145,20500.6,218.2,0.8865
mWMc6_wTdE0EUBKIGXDVfA,27,13,0.0,0.0,4.69,1.085,2.881,"Brewpubs, Breweries, Food",True,,False,,0.0,0.0,12.0,2,1.0,0,0.0,9999.0,0.0
CF33F8-E6oudUQ46HnavjQ,28,6,0.0,0.0,2.17,0.693,9.7239,"Burgers, Fast Food, Sandwiches",False,False,False,False,0.0,0.0,12.0,10,0.5,0,0.0,9999.0,0.0
k0hlBqXX-Bt0vf1op7Jr1w,59,19,0.0,0.0,2.95,0.61,2.5639,"Pubs, Restaurants, Italian",True,False,False,False,0.0,0.0,12.0,6,1.0,0,0.0,9999.0,0.0
bBDDEgkFA1Otx9Lfe7BZUQ,31,10,0.0,0.0,1.7,0.731,7.0921,"Ice Cream & Frozen Yogurt, Fast Food, Burgers",False,False,False,False,100.0,0.6,9.0,9,0.5,17,965.1,68.5,0.0417
eEOYSgkmpB90uNA7lDOMRA,15,10,0.1,0.0818,4.09,0.746,3.9421,"Vietnamese, Food, Restaurants",False,False,False,False,0.0,0.0,12.0,126,0.5,39,2141.6,241.4,0.0926
il_Ro8jwPlHresjw9EGmBg,83,28,0.0357,0.0333,2.41,0.585,3.6924,"American (Traditional), Restaurants, Diners",True,,False,False,0.0,0.0,12.0,51,1.0,9,157.1,206.9,0.0068
0bPLkL0QhhPO5kt1_EXmNQ,370,100,0.06,0.0532,4.39,0.782,2.2256,"Food, Delis, Italian",True,False,False,False,0.0,0.0,12.0,29,1.0,14,598.3,49.1,0.0259
MUTTqe8uqyMdBl186RmNeA,422,245,0.0204,0.0196,4.2,0.792,1.3571,"Sushi Bars, Restaurants, Japanese",False,,False,True,0.0,0.0,12.0,295,1.0,78,7213.4,250.0,0.3119
ROeacJQwBeh05Rqg7F6TCg,429,205,0.0146,0.0142,4.32,0.959,1.4807,"Korean, Restaurants",False,False,False,True,0.0,0.0,12.0,671,0.0,156,12697.3,265.1,0.5491
WKMJwqnfZKsAae75RMP6jA,266,40,0.0,0.0,3.82,0.933,2.0962,"Coffee & Tea, Food, Cafes",True,False,False,True,100.0,1.2,21.0,285,1.0,0,0.0,9999.0,0.0
kfNv-JZpuN6TVNSO6hHdkw,26,20,0.0,0.0,3.95,0.639,1.2506,"Steakhouses, Asian Fusion, Restaurants",False,False,False,False,100.0,0.6,12.0,53,0.5,9,283.4,171.3,0.0123
9OG5YkX1g2GReZM0AskizA,864,339,0.0383,0.0462,2.71,0.581,1.7156,"Restaurants, Italian",True,False,False,False,0.0,0.0,12.0,100,1.0,20,1020.7,124.8,0.0441
4iRzR7OaS-QaSXuvYxEGKA,45,6,0.0,0.0,3.83,1.002,5.9298,"Hot Dogs, Restaurants",True,False,False,False,0.0,0.0,12.0,24,1.0,7,608.9,20.6,0.0263
tMkwHmWFUEXrC9ZduonpTg,257,161,0.0,0.0,4.13,0.748,0.8273,"Restaurants, Japanese, Seafood",False,True,True,False,0.0,0.0,12.0,297,1.0,21,1997.9,189.9,0.0864
QdN72BWoyFypdGJhhI5r7g,150,65,0.0462,0.0557,3.88,0.697,2.7404,"Cocktail Bars, Bars, Italian",False,,False,True,0.0,0.0,12.0,504,1.0,126,8599.4,336.8,0.3719
sqSqqLy0sN8n2IZrAbzidQ,9,8,0.0,0.0,3.25,0.575,7.0266,"Pizza, Chicken Wings, Sandwiches",False,False,False,False,0.0,0.0,12.0,12,0.5,0,0.0,9999.0,0.0
Mjboz24M9NlBeiOJKLEd_Q,50,41,0.0,0.0,2.8,0.539,2.8964,"Pizza, Restaurants, Salad",False,False,False,False,0.0,0.0,12.0,151,0.5,47,2947.0,33.3,0.1274
kV_Q1oqis8Qli8dUoGpTyQ,185,109,0.0459,0.0418,3.48,0.665,2.5376,"Pizza, Restaurants",True,False,False,True,0.0,0.0,12.0,134,1.0,43,1178.0,58.4,0.0509
aPNXGTDkf-4bjhyMBQxqpQ,141,65,0.0154,0.0149,3.45,0.625,1.8928,"Eatertainment, Arts & Entertainment, Brewpubs",True,False,False,False,100.0,3.9,12.0,206,1.0,62,4424.0,355.0,0.1913
2xVsWBNFwZOxIOdd9Mwnww,57,20,0.0,0.0,2.65,0.689,3.4964,"Restaurants, Burgers",True,False,False,False,0.0,0.0,12.0,75,1.0,8,128.0,94.6,0.0055
ljxNT9p0y7YMPx0fcNBGig,260,94,0.0851,0.0974,2.96,0.613,2.8662,"Restaurants, Specialty Food, Steakhouses",True,False,False,True,0.0,0.0,12.0,17,1.0,26,473.3,136.6,0.0205
wghnIlMb_i5U46HMBGx9ig,32,23,0.0,0.0,3.17,0.616,4.1984,"Restaurants, Chinese",False,False,False,False,0.0,0.0,12.0,33,0.5,18,415.3,185.4,0.018
JX4tUpd09YFchLBuI43lGw,27,12,0.0833,0.0705,4.0,1.131,6.7992,"Arts & Entertainment, Music Venues, Internet Service Providers",True,False,False,True,0.0,0.0,12.0,255,1.0,0,0.0,9999.0,0.0
lk9IwjZXqUMqqOhM774DtQ,366,159,0.0189,0.0182,3.44,0.712,1.2514,"Coffee & Tea, Restaurants, Wine Bars",False,True,False,False,0.0,0.0,12.0,180,1.0,29,1669.1,120.3,0.0722
ABxoFuzZy5mqQ8C5FJJajQ,14,12,0.0,0.0,4.83,2.116,2.2597,"Restaurants, Italian",True,False,False,False,0.0,0.0,12.0,8,1.0,14,223.1,641.5,0.0096
5BmQX4UVJY19mMtafMg7JA,63,23,0.0,0.0,4.09,0.931,4.6577,"Specialty Food, Bakeries, Food",True,False,False,False,100.0,2.4,13.0,104,1.0,1,10.0,728.9,0.0004
cVBxfMC4lp3DnocjYA3FHQ,43,20,0.0,0.0,4.95,3.145,2.6457,"Coffee & Tea, Cafes, Pets",True,False,False,True,0.0,0.0,12.0,73,1.0,0,0.0,9999.0,0.0
0qNpTGTcqPwOLi2hADx4Xw,12,9,0.0,0.0,3.0,0.519,5.2172,"Food, Grocery, Convenience Stores",False,False,False,False,100.0,0.6,12.0,1,0.5,15,431.0,37.2,0.0186
txyXRytGjwOXvS8s4sc-WA,49,29,0.0345,0.0322,3.1,0.575,3.07,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food",True,False,False,,0.0,0.0,12.0,13,1.0,9,274.4,153.8,0.0119
uI9XODGY_2_ieTE6xJ0myw,49,23,0.0435,0.0765,3.84,0.664,1.7852,"Restaurants, American (New), Italian",True,False,False,False,100.0,0.6,8.0,54,1.0,15,320.1,107.6,0.0138
JgpnXv_0XhV3SfbfB50nxw,98,35,0.0571,0.051,4.16,0.887,2.5638,"Restaurants, Pizza",True,False,False,False,0.0,0.0,12.0,45,1.0,22,605.0,90.5,0.0262
Si6LXSR9gvAbmgO5DzV2cw,76,38,0.0263,0.025,2.38,0.698,1.1165,"Restaurants, Soup, Seafood",False,False,False,False,0.0,0.0,12.0,46,0.5,12,222.9,124.6,0.0096
seKihQKpGGnCeLuELRQPSQ,710,257,0.0428,0.0464,3.33,0.623,1.197,"Sports Bars, American (New), American (Traditional)",True,False,False,False,0.0,0.0,12.0,35,1.0,10,364.3,176.5,0.0158
L_TT0BFmFwORAMaA83K54A,73,23,0.0435,0.0399,2.42,0.637,1.4786,"Gastropubs, Cocktail Bars, Beer Bar",False,False,False,False,0.0,0.0,12.0,136,0.5,16,689.0,40.5,0.0298
qfWJmJ0g96eM_fWma3ja0g,365,114,0.0,0.0,2.89,0.685,2.4267,"Seafood, Restaurants, Bars",False,False,False,True,100.0,2.1,23.0,168,0.0,32,1035.7,112.3,0.0448
lOP3HxdUTaq0eXhwR_KC-w,54,13,0.0769,0.0659,4.21,1.042,6.9846,"Chocolatiers & Shops, Specialty Food, Candy Stores",True,False,False,,0.0,0.0,12.0,29,1.0,11,370.6,192.6,0.016
KWA2qtdwVEkMpd5soSKaGA,21,7,0.0,0.0,3.57,0.667,5.9158,"Food, Grocery",True,False,False,False,0.0,0.0,12.0,17,1.0,12,122.9,147.4,0.0053
gbN4RuUiiBxQ2GBFQ2p3Cw,14,7,0.0,0.0,5.0,10.0,6.0825,"Food Trucks, Food",False,False,False,False,0.0,0.0,12.0,4,0.5,6,246.9,395.4,0.0107
8rb-3VYXE37IZix4yOdskw,71,29,0.0345,0.0322,2.33,0.604,4.2618,"American (Traditional), Bars, Nightlife",True,False,False,False,100.0,4.5,0.0,12,1.0,6,66.1,283.7,0.0029
aCDY7vXYMs54EbYuQScsnQ,35,25,0.0,0.0,4.32,0.844,3.0317,"American (Traditional), Sports Bars, Restaurants",True,False,False,True,0.0,0.0,12.0,29,1.0,34,1119.0,42.7,0.0484
