business_id,birank_score,name,city,state,stars,review_count,subcategory
ytynqOUb3hjKeJfRj5Tshw,0.01723494728297672,Reading Terminal Market,Philadelphia,PA,4.5,5721,Inn
wz8ZPfySQczcPgSyd33-HQ,0.015487614948008821,Grand Sierra Resort and Casino,Reno,NV,3.0,3345,Resort
PY9GRfzr4nTZeINf346QOw,0.009649222763492796,Peppermill Reno,Reno,NV,4.0,2486,Hotel
ve_-rPlEGPClytyJtY55Vw,0.006956371720692144,Nugget Casino Resort,Sparks,NV,2.5,1576,Resort
7Iv-6B0EH-yVo5o_VnykWw,0.006430794365921129,The National WWII Museum,New Orleans,LA,4.5,1637,Hotel
Eb1XmmLWyt_way5NNZ7-Pw,0.006405593022433909,Louis Armstrong New Orleans International Airport  MSY,Kenner,LA,3.0,1789,Hotel
ORL4JE6tz3rJxVqkdKfegA,0.006193497722337538,Gaylord Opryland Resort & Convention Center,Nashville,TN,3.0,1639,Resort
-OKB11ypR4C8wWlonBFIGw,0.0058604202109113525,Atlantis Casino Resort Spa,Reno,NV,3.5,1218,Resort
-QI8Qi8XWH3D8y8ethnajA,0.0058282466586772495,Philadelphia International Airport - PHL,Philadelphia,PA,2.5,2149,Hotel
ld_H5-FpZOWm_tkzwkPYQQ,0.005828010640916588,Silver Legacy Resort Casino,Reno,NV,3.0,1534,Hotel
UUpwoAAZcJyUWOqp81_3mA,0.005716077448519358,Cajun Encounters Tour Company,New Orleans,LA,4.5,1210,Hotel
c_4c5rJECZSfNgFj7frwHQ,0.005578495776548935,Tampa International Airport,Tampa,FL,4.0,1849,Hotel
8A5LSwsKK5vXDH1M3_Tf1w,0.005437644988989474,"The Ritz-Carlton Bacara, Santa Barbara",Santa Barbara,CA,3.5,1383,Resort
nk96iwJV1_p2HECYQW1ysA,0.00510981799549184,French Quarter Phantoms,New Orleans,LA,4.5,1481,Hotel
oOSMOJptLRbmEDjp0YnEPw,0.004914542230804027,Witches Brew Tours,New Orleans,LA,4.5,933,Hotel
hy-E7DdXbdgTbwphKUYW1w,0.004701494454432121,Haunted History Tours,New Orleans,LA,4.0,1287,Hotel
8YDJraW_cg5IPTPisPfB-A,0.004224110024417971,City Museum,Saint Louis,MO,4.5,1366,Hotel
rSYyGcZZziJLsqKl5hMcDw,0.0039225639619895215,Circus Circus Reno,Reno,NV,2.5,1249,Hotel
GmXC3CBu172Bkb0c6RnO7w,0.0038033942494573136,Restaurant R'evolution,New Orleans,LA,4.5,1210,Hotel
4i4kmYm9wgSNyF1b6gKphg,0.0037736430755305876,Nashville International Airport - BNA,Nashville,TN,3.5,949,Hotel
BnzAXu_3S2CRQOG_vMIYRw,0.0036711742340881518,Sands Regency,Reno,NV,2.0,921,Hotel
X8hwEPRoRcLjbKVlVt1b1g,0.0036119723672017076,Saint Louis Zoo,St Louis,MO,4.5,866,Hotel
SwBhaxfQPbyhsi0QHUAN0A,0.0035035159312713526,Seminole Hard Rock Hotel & Casino Tampa,Tampa,FL,2.5,739,Hotel
JvawJ9bSr22xn4R9oLvl_w,0.003475959078004772,Desire Oyster Bar,New Orleans,LA,4.0,1084,Hotel
J6ZSgoKCLBDMMzuhM-aYGg,0.0033439332769691454,Eldorado Resort Casino,Reno,NV,3.0,934,Resort
H41S-qS3NOUJSbIqWTuyIA,0.003278735406587693,Paddlewheeler Creole Queen,New Orleans,LA,4.0,713,Hotel
JbzvJJolDBT1614qo2Yiaw,0.00317159539340173,Nelson's Green Brier Distillery,Nashville,TN,5.0,545,Hotel
bLC3frEZCtstsrfjmJMJiw,0.003142971261493002,Dolan Toyota,Reno,NV,3.5,654,Hotel
hS6KNGCQVTYUdLb2edt58g,0.003132199288686965,Steamboat Natchez,New Orleans,LA,3.5,780,Hotel
vznHFDZ8-oZbJRU6Bslsdw,0.0030750785972105967,Clearwater Marine Aquarium,Clearwater,FL,3.0,636,Hotel
sihT-_DtwOdnDDDJbXN22A,0.0030375732485897395,Cigar City Brewing,Tampa,FL,4.5,876,Hotel
bErZNO33F5Bb2Gtdm-utCw,0.003032576568944034,The Don CeSar,St. Pete Beach,FL,3.5,521,Hotel
QTbahs-GVuWYL5yfdjH34A,0.003022713924602871,Indianapolis International Airport - IND,Indianapolis,IN,4.0,947,Hotel
MWKowhzHQ_scqnJEqAUYgA,0.0030015281478799572,Hilton Santa Barbara Beachfront Resort,Santa Barbara,CA,2.5,288,Hotel
-9NmUeTphyS9Lq1o9MACGw,0.002819787402113755,Grand Ole Opry,Nashville,TN,4.5,687,Hotel
a3N9erjaLER_cH9rhsADEA,0.0027719326445768766,Atlantis Bistro Napa,Reno,NV,4.5,492,Hotel
iDZmCTXMxZi_HlAmOKyEeQ,0.0027406820576622213,Mama's On the Hill,Saint Louis,MO,3.5,504,Hotel
v1Uesklh8DpEufYOhTq4iA,0.002739332804274807,Mar Monte Hotel - Hyatt,Santa Barbara,CA,2.5,767,Hotel
dYYkzkiAQoOtRjdR0kcspw,0.0027372287792891492,Tennessee Brew Works,Nashville,TN,4.5,421,Hotel
UjOq8dBVNv9weHrVDqm3kQ,0.002682104349141844,Hotel Milo Santa Barbara,Santa Barbara,CA,3.0,825,Hotel
sB45WFgysT617bKWP_WJwA,0.002656597453216139,Budweiser Brewery Experience,Saint Louis,MO,4.5,605,Hotel
zxIF-bnaJ-eKIsznB7yu7A,0.0026227436209091833,Free Tours By Foot,New Orleans,LA,5.0,769,Hotel
ZhA88ILcgEP9DNwZDx7f0A,0.002603245774586067,Honky Tonk Central,Nashville,TN,3.5,647,Hotel
z4DO84nKcdDNs9cvOlQ5Rw,0.0025988441773760807,Lazydays RV of Tampa,Seffner,FL,2.5,340,Hotel
P8X2NUCEQm-YPTS3em1Kgg,0.0025941986476181777,Hubbard's Marina,Madeira Beach,FL,4.5,347,Hotel
gQYUyfiX0q0uTnueAyeqLA,0.002465302625283808,The Gateway Arch,Saint Louis,MO,4.0,568,Hotel
DL5IVX_42Ra6DEq5d7NLrw,0.0024406267153339023,Lambertville Station Restaurant,Lambertville,NJ,3.5,436,Hotel
8O35ji_yOMVJmZ6bl96yhQ,0.002431227152567568,St. Louis Lambert International Airport - STL,Saint Louis,MO,3.0,862,Hotel
G_0DHhlPXZrlkh-GudV4ew,0.00242743876225094,Ultimate Swamp Adventures,Westwego,LA,4.5,472,Hotel
GjQPosKRsjgy6YOClQOUlA,0.00241992580860905,ZooTampa at Lowry Park,Tampa,FL,4.0,522,Hotel
1aj1hnqPt3rqoB8tVRHLEA,0.0023825831681778807,Hotel Monteleone,New Orleans,LA,4.0,767,Hotel
gIz12h3svx22dhzj9ZzVTQ,0.002329219678751113,Sirata Beach Resort,St. Pete Beach,FL,2.5,420,Hotel
TnB88L2wYnBL6X9axvzg2Q,0.0023214373103892256,Hotel McCoy,Tucson,AZ,4.5,218,B&B
5O3vEISAkmh0lnArUBp_Cw,0.0022929921055727534,Crowne Plaza New Orleans French Quarter,New Orleans,LA,2.5,724,Resort
dybSe2rNDk1hNMpes9y7Rw,0.002273117084143935,Gate 1 Travel,Fort Washington,PA,3.5,721,Hotel
LgGqdFLD7-ca0Z9F_q4Fuw,0.002272652572348944,Postcard Inn on the Beach,St Pete Beach,FL,2.5,494,Resort
I6XG5CoPAoE2l0fQnAlJhQ,0.0022670424682947566,Jean Lafitte Swamp Tour,Marrero,LA,4.5,495,Hotel
arjkq9xxhTjwmncEsXNRmQ,0.002246331523193358,Harrah's Reno,Reno,NV,2.5,870,Hotel
AGtZA_0tR0erViKGTCGtQg,0.002244896104674617,Celebration Cruises,Santa Barbara,CA,4.5,297,Hotel
LmKpHMXSsm36viJOGVodFw,0.002160162027485931,Missouri Botanical Garden,Saint Louis,MO,4.5,468,Hotel
-xaY1TlMf20Ol9QLcDSU6Q,0.0020782913756131685,French Market,New Orleans,LA,3.5,692,Hotel
A9NqmUP1L3eU40a64q5Kdw,0.00206820074440102,Kimpton The Goodland,Goleta,CA,3.5,444,Hotel
2oav5QoWgnvTI2gO5xFMjw,0.0020107375585840695,Kimpton Hotel Monaco Philadelphia,Philadelphia,PA,4.0,499,Hotel
4Cal2AE6cr7m6nL20Rz2kQ,0.00199537271833952,Ryman Auditorium,Nashville,TN,4.5,574,Hotel
xmHRpcFzeV3TbnhB7PAlZQ,0.0019951439787998723,The Birch & Vine,Saint Petersburg,FL,3.5,398,Hotel
sXNh9X0jBiRtIb5a6xWWHQ,0.001989892223327876,Hilton Clearwater Beach Resort & Spa,Clearwater,FL,2.5,355,Hotel
u-wkhjV7CfvGJVY7hGULjw,0.001958184608761753,Hilton New Orleans Riverside,New Orleans,LA,3.0,559,Hotel
WtVOrfqLXerig9Z7iP-NzA,0.001956444086918508,"The Roosevelt New Orleans, A Waldorf Astoria Hotel",New Orleans,LA,4.0,517,Hotel
XScJI9exHgC0u_c3vmm1vQ,0.0019513752235140217,Harrah's New Orleans,New Orleans,LA,3.5,691,Hotel
h0wHeh0hTt6Us4W-1SHQOw,0.001924884651492859,Reno-Tahoe International Airport,Reno,NV,4.0,583,Hotel
zljfjg_zTL3ceGi_Vr4OFw,0.0019147045475586758,Sheraton New Orleans Hotel,New Orleans,LA,3.0,673,Hotel
fGUNmpB-Z3Tx51DM93eaBQ,0.001903563943798396,Whitney Peak Hotel,Reno,NV,3.5,431,Hotel
j1LGyDLjesniwqc1rHpctA,0.001871938624178282,The Westin La Paloma Resort & Spa,Tucson,AZ,3.0,435,Resort
maOMGu_2dSHKydBgZdTsvQ,0.001865411203142311,Wildhorse Saloon,Nashville,TN,3.5,559,Hotel
1NwmSlcnhVttwMWNx9fqLw,0.0018524891033747549,Royal Carriages,New Orleans,LA,4.5,323,Hotel
OM7W1kCHvhvThZrKRnA1PA,0.0018222213137389861,New Orleans Ghost Adventures Tour,New Orleans,LA,4.5,340,Hotel
DboqYyH-S8pV6WxaF9Plow,0.0018165000332930404,Cal Coast Adventures,Santa Barbara,CA,5.0,184,Hotel
0M1l6p96IffjQi9EZsdVhw,0.0018102966804090786,New Orleans Marriott,New Orleans,LA,3.5,594,Hotel
jSYu2apG1uYq3eNzSA-OHw,0.0018017273530200881,Johnny Cash Museum,Nashville,TN,4.0,418,Hotel
035gK3ASKDns-ojUSnV4IA,0.001791086670914357,Rosewood Miramar Beach,Montecito,CA,3.5,189,Hotel
sn4-BbWfsdQ4UVukfRl2Nw,0.001755099757108178,Belle Meade Historic Site & Winery,Nashville,TN,4.0,369,Hotel
hkh5iyDeGLNhu-JUQFRE1Q,0.0017522809104133625,Royal Sonesta New Orleans,New Orleans,LA,3.5,492,B&B
3Ce8r1K1O-2JKSMXdXID-w,0.0017258442024838188,Linvilla Orchards,Media,PA,3.5,405,Hotel
JODu4xqBU80zZ9mKKWrbYg,0.0017238421112499452,The 404 Kitchen,Nashville,TN,3.5,320,Hotel
7Cu3gElTkQEYIknEPsNaIw,0.001721584899935954,Joyride Nashville,Nashville,TN,4.5,223,Hotel
v5nFmEgsJL8Cqk_9obH-QQ,0.0017170145812191464,International Medical Group,Indianapolis,IN,1.0,129,Hotel
xIeHG2cqw7XEqy_M82zA7g,0.001709964043643018,Audubon Aquarium of the Americas,New Orleans,LA,3.5,523,Hotel
fkwnW_Ht2Rw9shAC7tTVCg,0.0017069831056089823,Omni Nashville Hotel,Nashville,TN,3.5,394,Hotel
NDwoKO79_T49UEKVDlHd3A,0.001693825514565666,Sustainable Wine Tours,Santa Barbara,CA,5.0,358,Hotel
sway6xsRT_CUC6peK_Pyww,0.0016924144389780912,Bobby Hotel,Nashville,TN,3.5,178,Hotel
lZX5_8qspEXtMJGFQ0-Mow,0.0016860561570383576,Philadelphia Marriott Downtown,Philadelphia,PA,3.0,595,Hotel
62TxD9SH2yPtrE3jAUBpFA,0.0016698234435656041,Tito's Mexican Restaurant - Berry Farms,Franklin,TN,3.5,207,Hotel
XNSUFPbLq-_NAfsFy0BS1A,0.0016691043478132162,The Godfrey Hotel & Cabanas Tampa,Tampa,FL,2.5,200,Hotel
Kp-oPqTLqsdBRckvbEwnMw,0.0016659783374273465,Jimmy B's Beach Bar,St. Pete Beach,FL,3.5,327,Hotel
yLh19zRsOYbs2ukRTEhkpA,0.0016629055685654377,The Chloe,New Orleans,LA,4.5,101,Hotel
fq44yNPMuN0dF5ZHdDuvYw,0.001654259944318879,Movie Tavern Flourtown,Flourtown,PA,2.5,400,Inn
B2Tuf5M1wQhdwAKnD-w7Yw,0.0016500181717919772,New Orleans Airboat Tours,Marrero,LA,5.0,286,Hotel
EYoA7Zwg92rDj6pMAQQLTA,0.001648302710288524,JW MarriottTucson Starr Pass Resort & Spa,Tucson,AZ,3.5,437,Resort
7Y_BCrWzvzHyPtaLsacL7Q,0.0016416436137328028,Sunken Gardens,Saint Petersburg,FL,4.5,273,Hotel
sitve7-2mPUQQ2bV8jLCRg,0.0016188306399379522,New Orleans School of Cooking,New Orleans,LA,4.5,525,Hotel
hRskO0RDRW3Cq3k7_Kggcg,0.0016185551920492357,Le Pavillon Hotel,New Orleans,LA,3.5,571,Hotel
-J0RIXNexJDV-mOAyhUJIQ,0.0016046155302096227,Fox Rent A Car,Tampa,FL,1.5,340,Hotel
W8YDBLJkvjVf0VUgXwE8VQ,0.0015937259473594602,Cafe Conti,New Orleans,LA,4.0,588,Hotel
tt3NK-Y_Q3qFRDHVLpKTHw,0.001590290647206098,Elevage,Tampa,FL,4.0,344,Hotel
n5P6-HWN3kFSYBxfVfDxEg,0.0015784587879231838,Shephard's Beach Resort,Clearwater Beach,FL,3.0,371,Resort
F9BES1HFD3BkIudUe4oTgg,0.001576031425261122,Pima Air & Space Museum,Tucson,AZ,4.5,350,Hotel
dC4Ahv-Q7t77b4fQpvptCw,0.0015733720881308938,Paradise Retreats,Santa Barbara,CA,3.5,181,Hotel
InS2FvXYgG1cm4CRWlWzYw,0.001564034374689429,Spinners Rooftop Grille,St. Pete Beach,FL,3.5,292,Hotel
7fH8SmEBinkv2AI7B8dOWA,0.0015579395204602937,The Palm - Nashville,Nashville,TN,3.5,337,Hotel
Q0AkBTnjmOREZN144PvNjg,0.001549740637992014,TradeWinds Island Grand,St. Pete Beach,FL,3.0,356,Resort
eFZZrkHMI_XeBl14toQvew,0.0015375528639692783,Sprocket Rocket Party Bike,Nashville,TN,4.5,252,Hotel
