dataset,n_layers,rho,p_value,ndcg10
London TripAdvisor,1,0.02588286804088059,0.28531531818064326,0.5508936787839347
London TripAdvisor,2,-0.037981217945077264,0.11683847175338265,0.5383300271494493
London TripAdvisor,3,-0.05838118889320829,0.015880436530791818,0.5352515948610927
London TripAdvisor,4,-0.06863965718345082,0.004563340720491081,0.5336010839462991
London TripAdvisor,5,-0.08221262516667344,0.0006764359218910619,0.5305842763442857
UK Foursquare,1,-0.07758392705934496,4.993129215074314e-17,0.20652577470391587
UK Foursquare,2,-0.05148273555310547,2.6884216408371128e-08,0.20608970629926393
UK Foursquare,3,-0.05063977003057106,4.514639123198614e-08,0.19527728704502922
UK Foursquare,4,-0.0426155787689754,4.186366093994277e-06,0.20223303699620412
UK Foursquare,5,-0.04214746009853271,5.331216252835471e-06,0.2057112150340965
