persona_id,domain,archetype,city,ndcg,hit_at_1,hit_at_3,hit_at_10,kendall_tau,stars_ndcg,stars_hit_at_1,stars_hit_at_3,pairwise_win,revisit_score,model_revisit_signal
HOT-ONE-1100,hotel,One-Time Tourist (Business),"Kansas City, MO",0.8108921960376799,0.0,0.0,1.0,-0.06666666666666667,0.7955656891057935,0.0,0.0,1,0.0,0.0202020202020202
COF-INF-0478,coffee,Infrequent Visitor,"Nashville, TN",0.8340190056893797,0.0,0.0,1.0,0.19999999999999998,0.8373586306569879,0.0,0.0,0,8.0,0.0431818181818181
HOT-LEI-1380,hotel,Leisure Traveler,"Cleveland, OH",0.7643149574746712,0.0,0.0,1.0,-0.24444444444444444,0.785787983480754,0.0,0.0,0,4.0,0.0108035111411208
HOT-ONE-1177,hotel,One-Time Tourist (Business),"Indianapolis, IN",0.7978254810026544,0.0,0.0,1.0,-0.022222222222222223,0.7703540669298923,0.0,0.0,1,4.0,0.0418781725888324
COF-WEE-0073,coffee,Weekday Regular,"Reno, NV",0.8173155320947179,0.0,0.0,1.0,-0.1111111111111111,0.8230237028772212,0.0,0.0,0,2.0,0.0169154228855721
RES-MIX-0872,restaurant,Mixed / Average,"Nashville, TN",0.734570881811224,0.0,0.0,1.0,-0.15555555555555553,0.7719398425982957,0.0,0.0,0,3.0,0.0074
RES-NIG-0972,restaurant,Nightlife Seeker,"Tampa, FL",0.7904627211299998,0.0,1.0,1.0,-0.1111111111111111,0.7692462243220372,0.0,0.0,1,8.0,0.0131
COF-CAS-0319,coffee,Casual Weekender,"Cleveland, OH",0.7833785960425595,0.0,0.0,1.0,-0.28888888888888886,0.7969724063204977,0.0,0.0,1,3.0,0.0185185185185185
HOT-ONE-1064,hotel,One-Time Tourist (Business),"Cleveland, OH",0.7841646173308857,0.0,0.0,1.0,-0.022222222222222223,0.7600678512846423,0.0,0.0,1,4.0,0.0418781725888324
HOT-ONE-1015,hotel,One-Time Tourist (Business),"Tampa, FL",0.8005041784814179,0.0,1.0,1.0,-0.19999999999999998,0.7754672324359064,0.0,0.0,0,3.0,0.0418781725888324
COF-CAS-0308,coffee,Casual Weekender,"Tucson, AZ",0.7969294839272515,0.0,0.0,1.0,-0.022222222222222223,0.8082717615363091,0.0,0.0,1,3.0,0.0304740406320541
RES-NIG-0987,restaurant,Nightlife Seeker,"Tampa, FL",0.7944668920303151,0.0,1.0,1.0,0.1111111111111111,0.7529942874676665,0.0,0.0,1,8.0,0.0148
COF-WEE-0106,coffee,Weekday Regular,"New Orleans, LA",0.898771532423233,0.0,0.0,0.0,-0.05555555555555555,0.9409841921084744,0.0,0.0,1,3.0,0.0208333333333333
COF-WEE-0279,coffee,Weekday Regular,"Nashville, TN",0.7817606621569789,0.0,0.0,1.0,-0.28888888888888886,0.8453180871295463,0.0,0.0,0,1.0,0.0074468085106382
COF-WEE-0226,coffee,Weekday Regular,"Cincinnati, OH",0.7670863191964472,0.0,0.0,1.0,-0.19999999999999998,0.8385450705463753,0.0,0.0,1,3.0,0.0225733634311512
COF-WEE-0154,coffee,Weekday Regular,"New Orleans, LA",0.8949590749633997,0.0,0.0,0.0,0.0,0.9409841921084744,0.0,0.0,1,3.0,0.0078740157480314
HOT-LEI-1353,hotel,Leisure Traveler,"St. Louis, MO",0.7755382845508874,0.0,0.0,1.0,-0.24444444444444444,0.7729466375731728,0.0,0.0,0,2.0,0.020551649540292
RES-NIG-0944,restaurant,Nightlife Seeker,"Tampa, FL",0.8091836919750821,0.0,1.0,1.0,0.19999999999999998,0.7515621643437762,0.0,0.0,1,8.0,0.0131
RES-EXP-0630,restaurant,Explorer,"Tucson, AZ",0.7219479370782725,0.0,0.0,1.0,-0.28888888888888886,0.7388137555271317,0.0,0.0,1,3.0,0.0188
HOT-ONE-1149,hotel,One-Time Tourist (Business),"Las Vegas, NV",0.7937991863836352,0.0,0.0,1.0,0.022222222222222223,0.7836526413901289,0.0,0.0,1,1.0,0.005610098176718
RES-NIG-0937,restaurant,Nightlife Seeker,"Phoenix, AZ",0.8245851447961586,1.0,1.0,1.0,0.022222222222222223,0.768877429948423,0.0,0.0,1,6.0,0.0108
HOT-LEI-1351,hotel,Leisure Traveler,"Indianapolis, IN",0.7881581270965874,0.0,0.0,1.0,-0.4222222222222222,0.7895752435921518,0.0,0.0,0,7.0,0.020551649540292
COF-CAS-0297,coffee,Casual Weekender,"Tampa, FL",0.8531733719557131,0.0,0.0,1.0,0.5111111111111111,0.8209635705039896,0.0,0.0,1,3.0,0.0144404332129963
RES-MIX-0860,restaurant,Mixed / Average,"St. Louis, MO",0.7341133138056399,0.0,0.0,1.0,-0.19999999999999998,0.7725054202087317,0.0,0.0,0,7.0,0.0123
COF-CAS-0333,coffee,Casual Weekender,"Reno, NV",0.8475811660236119,0.0,1.0,1.0,0.022222222222222223,0.8342332044404832,0.0,0.0,1,6.0,0.0210176991150442
COF-CAS-0444,coffee,Casual Weekender,"Tucson, AZ",0.7945442039585772,0.0,0.0,1.0,-0.19999999999999998,0.8206125122503699,0.0,0.0,1,3.0,0.0126488095238095
HOT-ONE-1159,hotel,One-Time Tourist (Business),"Pittsburgh, PA",0.7822823271837094,0.0,0.0,1.0,-0.15555555555555553,0.7740337702975897,0.0,0.0,0,1.0,0.0110091743119266
RES-EXP-0687,restaurant,Explorer,"Pittsburgh, PA",0.726023092203061,0.0,0.0,1.0,-0.19999999999999998,0.7698768425124656,0.0,0.0,1,2.0,0.0148
RES-NIG-0982,restaurant,Nightlife Seeker,"Kansas City, MO",0.808548794458377,0.0,1.0,1.0,0.24444444444444444,0.7716425576517965,0.0,0.0,1,3.0,0.0123
HOT-ONE-1183,hotel,One-Time Tourist (Business),"Nashville, TN",0.8015598415780681,0.0,0.0,1.0,-0.1111111111111111,0.7766915073572759,0.0,0.0,1,3.0,0.0108035111411208
COF-WEE-0247,coffee,Weekday Regular,"Philadelphia, PA",0.7799833083197334,0.0,0.0,1.0,-0.1111111111111111,0.8142830099035426,0.0,0.0,0,1.0,0.0159010600706713
COF-WEE-0203,coffee,Weekday Regular,"Tampa, FL",0.7603892923568628,0.0,0.0,1.0,-0.4222222222222222,0.8225316807009264,0.0,0.0,1,1.0,0.0351493848857645
HOT-ONE-1440,hotel,One-Time Tourist,"St. Louis, MO",0.826979824695879,0.0,1.0,1.0,-0.15555555555555553,0.8033167773488136,0.0,0.0,0,2.0,0.0418781725888324
RES-EXP-0693,restaurant,Explorer,"Phoenix, AZ",0.6947493423573194,0.0,0.0,1.0,-0.4222222222222222,0.7688337727653903,0.0,0.0,1,4.0,0.0123
RES-MIX-0859,restaurant,Mixed / Average,"Phoenix, AZ",0.7360821862516536,0.0,0.0,1.0,-0.4222222222222222,0.7544757741689545,0.0,0.0,0,7.0,0.0148
COF-CAS-0350,coffee,Casual Weekender,"Pittsburgh, PA",0.7914330532533917,0.0,0.0,1.0,0.15555555555555553,0.8210944271245014,0.0,0.0,1,3.0,0.0169154228855721
COF-WEE-0170,coffee,Weekday Regular,"Charlotte, NC",0.7884316867242058,0.0,0.0,1.0,-0.3333333333333333,0.8368300628100607,0.0,0.0,1,2.0,0.0185185185185185
COF-CAS-0315,coffee,Casual Weekender,"Cincinnati, OH",0.8869201197846788,0.0,1.0,1.0,0.4666666666666666,0.864718227320531,0.0,1.0,1,3.0,0.0128686327077747
COF-LOY-0040,coffee,Loyalist,"Philadelphia, PA",0.764386169770326,0.0,0.0,1.0,-0.24444444444444444,0.8163465754639534,0.0,0.0,0,3.0,0.0126488095238095
COF-WEE-0048,coffee,Weekday Regular,"St. Louis, MO",0.7628761068840637,0.0,0.0,1.0,-0.19999999999999998,0.8029237662645613,0.0,0.0,0,2.0,0.0185185185185185
HOT-ONE-1128,hotel,One-Time Tourist (Business),"Reno, NV",0.9402453334993345,1.0,1.0,1.0,0.6888888888888888,0.773995603426878,0.0,0.0,1,5.0,0.0716009654062751
COF-CAS-0398,coffee,Casual Weekender,"Cincinnati, OH",0.8317846408510493,0.0,0.0,1.0,0.5555555555555555,0.8236359097975644,0.0,0.0,1,4.0,0.0225733634311512
COF-WEE-0060,coffee,Weekday Regular,"Pittsburgh, PA",0.7800299666658703,0.0,0.0,1.0,-0.28888888888888886,0.8143205372092688,0.0,0.0,0,2.0,0.0304740406320541
HOT-ONE-1434,hotel,One-Time Tourist,"Philadelphia, PA",0.7813088989777124,0.0,0.0,1.0,-0.19999999999999998,0.7675420144508698,0.0,0.0,0,1.0,0.0110091743119266
RES-MIX-0776,restaurant,Mixed / Average,"Tampa, FL",0.7574297067997936,0.0,0.0,1.0,-0.022222222222222223,0.7714610867745728,0.0,0.0,0,3.0,0.0074
COF-INF-0483,coffee,Infrequent Visitor,"Indianapolis, IN",0.8148445359526708,0.0,0.0,1.0,0.022222222222222223,0.8172053526133629,0.0,0.0,0,4.0,0.0126488095238095
RES-EXP-0590,restaurant,Explorer,"Tampa, FL",0.7301919144511262,0.0,0.0,1.0,-0.15555555555555553,0.7696561319860912,0.0,0.0,1,3.0,0.0131
COF-WEE-0090,coffee,Weekday Regular,"Pittsburgh, PA",0.8071032126599927,0.0,0.0,1.0,0.1111111111111111,0.833655240388815,0.0,0.0,0,3.0,0.0169154228855721
COF-CAS-0360,coffee,Casual Weekender,"Kansas City, MO",0.9897569916489064,1.0,1.0,1.0,0.6,0.8351612573099914,0.0,0.0,1,4.0,0.0225733634311512
RES-EXP-0677,restaurant,Explorer,"Louisville, KY",0.733606900889969,0.0,0.0,1.0,-0.15555555555555553,0.753279234834456,0.0,0.0,1,2.0,0.0225
HOT-ONE-1166,hotel,One-Time Tourist (Business),"Cleveland, OH",0.7908012495118025,0.0,0.0,1.0,0.06666666666666667,0.7755219631310284,0.0,0.0,0,4.0,0.0716009654062751
HOT-LEI-1383,hotel,Leisure Traveler,"Pittsburgh, PA",0.7909745964751772,0.0,0.0,1.0,-0.15555555555555553,0.7789107241763078,0.0,0.0,0,2.0,0.032826261008807
RES-NIG-0966,restaurant,Nightlife Seeker,"New Orleans, LA",0.7673624238256688,0.0,1.0,1.0,0.19999999999999998,0.7258278416235386,0.0,0.0,0,6.0,0.0148
RES-MIX-0706,restaurant,Mixed / Average,"Phoenix, AZ",0.7713115325756877,0.0,1.0,1.0,0.15555555555555553,0.7710657966286178,0.0,0.0,0,6.0,0.0148
HOT-BUD-1487,hotel,Budget Explorer,"Indianapolis, IN",0.7755682368660025,0.0,0.0,1.0,-0.3333333333333333,0.7782519330227089,0.0,0.0,0,3.0,0.0189139719341061
COF-CAS-0328,coffee,Casual Weekender,"Tucson, AZ",0.8304172079661941,0.0,0.0,1.0,0.28888888888888886,0.8413826873730594,0.0,0.0,1,3.0,0.0126488095238095
RES-MIX-0812,restaurant,Mixed / Average,"Nashville, TN",0.738254362661065,0.0,0.0,1.0,-0.06666666666666667,0.7703298708451795,0.0,0.0,0,5.0,0.0138
RES-EXP-0700,restaurant,Explorer,"St. Louis, MO",0.7503858379502809,0.0,0.0,1.0,0.1111111111111111,0.7703159725571849,0.0,0.0,1,2.0,0.0074
COF-INF-0455,coffee,Infrequent Visitor,"Indianapolis, IN",0.8349467727250129,0.0,0.0,1.0,0.06666666666666667,0.8374022651690676,0.0,0.0,0,4.0,0.029029029029029
RES-EXP-0683,restaurant,Explorer,"Kansas City, MO",0.7174015083686061,0.0,0.0,1.0,-0.24444444444444444,0.7702437376573378,0.0,0.0,1,3.0,0.0151
RES-NIG-0907,restaurant,Nightlife Seeker,"Tampa, FL",0.7975913371732161,0.0,1.0,1.0,0.06666666666666667,0.7741578758524752,0.0,0.0,1,4.0,0.048
RES-MIX-0787,restaurant,Mixed / Average,"Tampa, FL",0.7364018167437903,0.0,0.0,1.0,-0.06666666666666667,0.7703362899013316,0.0,0.0,0,4.0,0.0121
COF-WEE-0222,coffee,Weekday Regular,"Cleveland, OH",0.7691233867382828,0.0,0.0,1.0,-0.06666666666666667,0.8102206280066613,0.0,0.0,1,0.0,0.0431818181818181
HOT-ONE-1048,hotel,One-Time Tourist (Business),"Indianapolis, IN",0.7816228612824424,0.0,0.0,1.0,-0.24444444444444444,0.7753587197633988,0.0,0.0,1,2.0,0.024745269286754
HOT-LEI-1368,hotel,Leisure Traveler,"Nashville, TN",0.784320256686011,0.0,0.0,1.0,-0.1111111111111111,0.78154252427417,0.0,0.0,0,3.0,0.0852503382949932
RES-NIG-0968,restaurant,Nightlife Seeker,"Nashville, TN",0.8351903751234641,1.0,1.0,1.0,0.19999999999999998,0.7692917509964227,0.0,0.0,1,8.0,0.0188
COF-LOY-0007,coffee,Loyalist,"Tucson, AZ",0.7890012884896505,0.0,0.0,1.0,0.022222222222222223,0.8431880187636334,0.0,0.0,1,2.0,0.0225733634311512
RES-MIX-0829,restaurant,Mixed / Average,"Philadelphia, PA",0.70035101201106,0.0,0.0,1.0,-0.37777777777777777,0.7696978066417,0.0,0.0,0,8.0,0.0369
COF-WEE-0175,coffee,Weekday Regular,"Tucson, AZ",0.7676717602943294,0.0,0.0,1.0,-0.4222222222222222,0.8011546330118405,0.0,0.0,0,0.0,0.0431818181818181
HOT-ONE-1066,hotel,One-Time Tourist (Business),"Charlotte, NC",0.8113909377228895,0.0,1.0,1.0,0.022222222222222223,0.7808127975848085,0.0,0.0,0,2.0,0.0108035111411208
COF-WEE-0124,coffee,Weekday Regular,"Kansas City, MO",0.7736199792490999,0.0,0.0,1.0,-0.37777777777777777,0.8213292805872687,0.0,0.0,0,1.0,0.0203761755485893
HOT-ONE-1073,hotel,One-Time Tourist (Business),"Cincinnati, OH",0.7895067698984538,0.0,0.0,1.0,-0.022222222222222223,0.781506451138507,0.0,0.0,0,5.0,0.0716009654062751
HOT-LEI-1367,hotel,Leisure Traveler,"Reno, NV",0.7710161075716188,0.0,0.0,1.0,-0.28888888888888886,0.7766095869810002,0.0,0.0,0,2.0,0.020551649540292
