occupation,n,ndcg_mean,ndcg_lo,ndcg_hi,hit_at_1,hit_at_3,hit_at_10,kendall_tau,stars_ndcg_mean,delta_vs_stars,pairwise_win_rate,wilcoxon_p,wilcoxon_p_bh,cohen_d
Trade / Manual,120,0.8378,0.8256,0.8501,0.4167,0.6917,1.0,0.1093,0.7938,0.044,0.5583,0.0,0.0,0.8164
Remote / Digital Nomad,240,0.8117,0.8011,0.8222,0.2667,0.3917,0.9417,-0.0318,0.7955,0.0162,0.2667,0.9519,0.9706,0.2396
Student / Part-time,60,0.8102,0.795,0.8275,0.1167,0.35,1.0,0.0415,0.7908,0.0194,0.3667,0.2359,0.3686,0.3912
Legal / Finance,240,0.8085,0.8005,0.8171,0.175,0.4667,1.0,0.0387,0.7914,0.0172,0.2542,0.3383,0.4975,0.3238
Executive / C-Suite,180,0.8033,0.7937,0.8137,0.1611,0.4444,1.0,0.0212,0.7915,0.0118,0.1944,0.1314,0.2346,0.2281
Tech / Software,240,0.7993,0.7912,0.8081,0.1417,0.2792,1.0,-0.0222,0.7917,0.0076,0.1208,0.0167,0.038,0.1471
Healthcare,300,0.7942,0.7887,0.8,0.0833,0.3433,1.0,-0.0327,0.7918,0.0024,0.1433,0.0166,0.038,0.0596
Education / Academic,180,0.7936,0.786,0.8022,0.1056,0.3167,1.0,-0.0348,0.7921,0.0015,0.3222,0.0044,0.0122,0.0334
Hospitality / Service,60,0.7862,0.7708,0.8022,0.1333,0.2,0.9833,-0.1285,0.7924,-0.0062,0.3333,0.0192,0.04,-0.115
Creative / Media,240,0.7735,0.7675,0.7799,0.0167,0.0958,0.95,-0.1725,0.7965,-0.0229,0.075,0.0,0.0,-0.4818
