user_id,business_id,rank,score,u_beh,c_mob,r_ctx,weight_beh,weight_mob,weight_ctx
fm1oHv32DvYmpzFekmDZIQ,oIH5YWPy_g61YXM6R900Wg,1,0.932,1.0,0.8825,0.897,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,VAeEXLbEcI9Emt9KGYq9aA,2,0.9091,1.0,0.8454,0.6936,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,ReX09lhufLTAx19krkltDA,3,0.8679,0.8868,0.8565,0.6984,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,6Pu5MKIWbn6FO-oebSSrYQ,4,0.9117,0.9774,0.8668,0.684,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,dGUyXgFW1WSYMgRypKaYew,5,0.9169,1.0,0.8587,0.7144,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,ORL4JE6tz3rJxVqkdKfegA,6,0.78,0.9987,0.6197,0.7496,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,gVU0U7gNBMQxKTzqmRtdLg,7,0.8977,0.9258,0.878,0.837,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,1b5mnK8bMnnju_cvU65GqQ,8,0.9204,1.0,0.8631,0.841,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,16tjKOvMw_nOgNViq2LwOQ,9,0.8033,0.778,0.8246,0.6232,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,wUZXm4KN2wIqlfkvXVZXUw,10,0.8337,0.8023,0.8598,0.6312,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,2OXCAbz3x_MrQSYj1zarIA,11,0.8694,0.8896,0.8573,0.684,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,quk6TFDQyuQ4g0KuIb9qUA,12,0.8249,0.7921,0.852,0.6184,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,KnsY8rh5tigp5t6WpilGdA,13,0.7705,0.6608,0.8517,0.7304,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,3iUCCf1FWmjlFbGYvBgf9w,14,0.8673,0.8739,0.8625,0.863,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,9w-LZEkP1hf363G-OYvKDg,15,0.8136,0.7738,0.8456,0.6328,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,ytynqOUb3hjKeJfRj5Tshw,16,0.6836,1.0,0.45,0.753,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,WOpG-Xygx28cKf2MC3CJcg,17,0.7766,0.644,0.8728,0.861,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,4Cal2AE6cr7m6nL20Rz2kQ,18,0.7976,0.6885,0.8779,0.791,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,xlMQBBt9wrtahdqiRDcVSg,19,0.8852,0.9034,0.8757,0.628,0.42,0.571,0.008
fm1oHv32DvYmpzFekmDZIQ,JWqbjm0wtbbciu_Gb6Eqyw,20,0.7254,0.5962,0.8215,0.6488,0.42,0.571,0.008
SF0HOdJBUzzPlBQOr_l_8w,RRCgIohWjaeGtlbpcYJBbw,1,0.7726,0.6742,0.851,0.6157,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,g0cUlBQ2pGRxWtL6qwyeIg,2,0.7501,0.6767,0.8054,0.8156,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,eoqpPPlegPddFATQadDsoA,3,0.7254,0.5585,0.8517,0.8296,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,ytynqOUb3hjKeJfRj5Tshw,4,0.6895,1.0,0.45,0.7396,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,c0F9yKr0bJuQDtG1lzDgmQ,5,0.7388,0.6054,0.8438,0.6013,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,hAmuto6UndVroyd_DaD-TA,6,0.6459,0.4485,0.7933,0.8856,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,J6ZSgoKCLBDMMzuhM-aYGg,7,0.6161,1.0,0.3158,0.9184,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,ZfOS7Mz-iGseNxBhlhXm_w,8,0.6813,0.6195,0.7241,0.9416,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,L5LLN0RafiV1Z9cddzvuCw,9,0.6114,1.0,0.309,0.8316,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,U3grYFIeu6RgAAQgdriHww,10,0.6069,1.0,0.3005,0.8496,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,fCDMLD21ypv1XZ_EyafCkQ,11,0.6056,0.9836,0.3126,0.7496,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,q-zV08jt6U-q05SMEuQJAQ,12,0.6153,0.9927,0.3237,0.7085,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,O1Cw2yzf4bCuKjbVTljqUQ,13,0.6713,0.4596,0.8337,0.6829,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,UxbUIb5mVl7nok9J6zv4VQ,14,0.6832,0.4511,0.8572,0.9216,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,llLvHJgkKQNfzgtKf6p3BQ,15,0.7016,0.601,0.7794,0.6717,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,Ck4xeKZMiqZsaCcB-78yEA,16,0.6987,0.4975,0.8499,0.8856,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,fu6FQlfxcK8Y26P_xveAlA,17,0.6373,0.3609,0.8497,0.6365,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,OdIBX09glfXNVSyd0RnIeg,18,0.6777,1.0,0.4299,0.6877,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,2IDX0qjVCsxDvdOchxsFrw,19,0.6793,0.4607,0.8455,0.7725,0.43,0.56,0.01
SF0HOdJBUzzPlBQOr_l_8w,C7UcYxau9Rn5Q12hYOL2rA,20,0.6681,0.4332,0.8472,0.7485,0.43,0.56,0.01
A32mMAKFN88abZLJUJjlqQ,TcNZXteosegb1RO4O5hREw,1,0.89,1.0,0.8026,0.7019,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,8uF-bhJFgT4Tn6DTb27viA,2,0.8604,1.0,0.7472,0.7163,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,ChlcxTEoWBQJXJ2Xb2vm5g,3,0.8368,0.9615,0.7292,0.9874,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,gTC8IQ_i8zXytWSly3Ttvg,4,0.8542,1.0,0.736,0.6955,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,VVH6k9-ycttH3TV_lk5WfQ,5,0.8805,1.0,0.7839,0.7371,0.449,0.538,0.012
