yelp_business_id,friend_checkin_count,fof_checkin_count,social_unique_visitors,social_diversity_index,mean_bridge_confidence
gGyqnAlpFrka_qzpO7j4lQ,108.4417,189.2461,85,4.4543,0.2361
_bNC8MgB6KtHOyB4gXnwDg,97.6604,165.7474,55,4.0254,0.267
A4ULsLQxyFG1t32TlTxcUA,75.9006,119.6544,2,1.0986,0.2399
DY2MwXiena93u6JeI7Th_w,72.2991,63.5981,2,1.0986,0.2485
LzVvcVm48zYIcQnwLKt1oA,60.1351,194.0409,9,2.3026,0.2772
37QpeBaevTiz0vC2unFT4g,53.0547,57.8352,4,1.6094,0.2186
DZRkJUI9iv1mDY_JaCY3sg,42.664,82.027,26,3.2958,0.2424
AKAt17U4LQtz_Ro4RoofjA,38.772,148.6079,2,1.0986,0.2237
TiA5fpNc-T8QvrxT_EfmPg,37.2797,61.462,23,3.1781,0.2492
FryXEasH74MQDnj5Bvz3QA,34.7964,71.935,6,1.9459,0.2298
bhaaBv7YMTYYIMjx0rrO3Q,34.3829,48.1681,3,1.3863,0.2245
lcJc6yH1uqwMOBNO6ux5UA,31.068,74.7878,7,2.0794,0.2393
bj-_vwEXLa7ECiHZhoOmFg,29.8497,4.8744,5,1.7918,0.2036
ZipaR6Tyd3IandZHwG6ubw,29.6043,50.4387,13,2.6391,0.2483
9w6o_eyKCSNKgMtAuv6KWg,29.282,112.4664,4,1.6094,0.278
J-sxpWHWh8Q-85nEhcEYdw,28.2749,22.2938,18,2.9444,0.2653
eV8WOGv0HytjxWrw9himpQ,24.6667,5.8924,2,1.0986,0.2519
JhpRI9m71ybWHkAqRdL0Tg,23.94,54.4612,5,1.7918,0.2346
58Vd48_6D1Myd_M1xWepJg,22.7304,52.9928,4,1.6094,0.2949
FwvK-Xyi11yDeYmqmL6uSw,22.6733,141.8456,4,1.6094,0.2384
AmnnsJq4Pz1jJUFzHwtsOA,22.1156,31.7387,3,1.3863,0.2483
tM-tPqhXx1ozGf_79dLJ_A,21.2732,32.2458,19,2.9957,0.242
Z_KNlr8cLxDSPUB055MgOA,21.2161,44.7425,3,1.3863,0.2361
j3ZeNsdd8sm3y_qIx42k_w,20.5934,13.7921,4,1.6094,0.2595
vwv7M49sCxh7pIa-cAVb4w,20.3507,17.0903,3,1.3863,0.2843
VfM989tz82RSJ3E8uZUgAQ,20.1871,29.3557,8,2.1972,0.2442
u7cZUEGK6iJP2gvI22xY2A,19.8649,10.82,4,1.6094,0.2677
zewTzLyiEQA8LxzNkpAa3Q,19.7124,60.0564,4,1.6094,0.2167
hMCJbE4NogBHmEZw70j6NA,19.3599,39.8522,8,2.1972,0.2582
-5Rah4ZvWsDu4oilUZxhtw,18.9108,24.1207,17,2.8904,0.2754
JbI8R-Mjrn_kG7zBObj4vA,18.8301,45.9899,2,1.0986,0.209
VKJAYcMlWORKhPugOcBGeA,18.6834,61.5998,7,2.0794,0.2312
c0xP7w0FHMCACiUse9XUFQ,18.6581,20.5043,4,1.6094,0.2194
UM6XgOtTX4DWWcGDTWtjEg,18.6055,21.2137,6,1.9459,0.2996
u4qdPm5pLtrcv5tXv9qhng,18.5457,22.9607,14,2.7081,0.2838
nRKndeZLQ3eDL10UMwS2rQ,18.2508,31.0479,15,2.7726,0.2479
Z4D9fzsrlNX8O9rkJuEo6A,17.5736,11.9045,4,1.6094,0.2607
6WbDVtlU7vGaFV9zHexFIw,17.2666,35.2785,2,1.0986,0.2178
G847k0tO-0iDLRM9m8Rgcw,16.9325,61.0384,5,1.7918,0.2344
06_ObrhBE8qd2puOu-lkiQ,16.5104,33.9834,10,2.3979,0.2337
7CRZ2SDVIUR0SjB7xr_vYQ,16.1415,13.2219,1,0.6931,0.2152
Z2ETYcXzj1heNfadJMKO_Q,16.1309,36.3374,6,1.9459,0.238
yI-ahfduU45_bZa3ZgEx4w,15.6649,36.6288,12,2.5649,0.238
8Xg40-or1BaKDbgA445Y1Q,15.342,13.7509,4,1.6094,0.2566
hq0pGGIfaqBG36518UsWcw,15.071,8.803,13,2.6391,0.2429
8j3blTZChklt3j89jxx0fw,14.9016,27.4486,13,2.6391,0.2777
_lCaW3aU3yp-acJ8BnCLyQ,14.7361,54.837,3,1.3863,0.2254
XABPGEqMuRN-WNpvk8kTVw,14.6846,15.6122,1,0.6931,0.2098
_oCnVb-dCFLSItoohXqZWg,14.6846,15.6122,1,0.6931,0.2098
d8mbViiqVw2HwsETuc3hwA,14.4078,14.4431,4,1.6094,0.2425
nWpIXaVS8VuAsHZYID4Lww,14.1493,20.0758,7,2.0794,0.2644
aH3xlewNKQk5K4mEko6qQQ,14.1152,19.7215,8,2.1972,0.2512
Ibo4E5a_nf51egmeFR5Izg,14.0482,50.0981,10,2.3979,0.2486
yZHiutcbym-xLGkmFhP-9A,13.7737,53.3825,7,2.0794,0.2265
ELY0HI8GDEx0jkmREVna0A,13.7373,33.6696,19,2.9957,0.2502
h1_eW92xqrPrY-LVKkHPNg,13.6077,35.204,11,2.4849,0.2541
a-MYqHxvpmCz3ZXy2illiA,13.5396,19.2097,5,1.7918,0.2494
U2hkeMI-q4cS35QolJYN0A,13.5036,65.7047,2,1.0986,0.2438
9bH5Xc39pDsh70N9vUdBGg,13.4511,28.3441,4,1.6094,0.2346
CFQy8pmXcEJ-g9Iwf6tG1A,13.3758,18.6144,13,2.6391,0.2217
NqVky9-t3t9HXdlf7F150Q,13.2384,4.617,1,0.6931,0.2758
VHnxcKRk0qGxnW1jgVdwGw,13.1735,9.6359,10,2.3979,0.2431
eZRLcjVoPysKeqjWg-xlfg,13.0785,14.6738,5,1.7918,0.2323
RQhkLCRwYCl_7wbGCll8gw,12.942,68.3282,3,1.3863,0.2392
7EfRRKhKaeVzHvIgITE7Xg,12.88,5.217,2,1.0986,0.1933
PBUP6KRtBb5OUFfcpCXPHw,12.7122,10.3783,7,2.0794,0.2415
IORvbG2rAIVJ-1d148cCmg,12.677,6.8129,15,2.7726,0.2471
RDNbC2Dojo3mpgcWWuk7Dw,12.5808,31.2446,5,1.7918,0.2387
yjXSQDwuI49poc3MA7AGdw,12.5215,14.3211,4,1.6094,0.2018
6vp741cxMvQMicJ3qZuLGQ,12.4801,11.725,5,1.7918,0.2617
Cmw00BFD1l-_DJHPuKi2Rw,12.3542,33.0198,5,1.7918,0.2447
_tt4nysrN8JpzLLVXL-z5A,12.2901,37.3832,3,1.3863,0.2979
pDInXOZ56x0oa4qI-YMSbA,12.0702,8.2232,4,1.6094,0.2256
iLBqcyjmrHzCIt5NTDWOBw,12.0104,18.4979,14,2.7081,0.2187
4MbJl_Pn4xqTHWWf_w5KHg,11.6798,41.8153,5,1.7918,0.247
-VlBFlHwX-Pt6Xyzs9roGw,11.588,33.6822,7,2.0794,0.2534
4J06--ty2Ydj1---IsArLw,11.5336,21.2626,16,2.8332,0.2588
